Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor,relevance_score,cited_Normalized,impact_Normalized,final_score
The emerging field of epigenetics in neurodegeneration and neuroprotection,"Epigenetic mechanisms - including DNA methylation, histone post-translational modifications and changes in nucleosome positioning - regulate gene expression, cellular differentiation and development in almost all tissues, including the brain. In adulthood, changes in the epigenome are crucial for higher cognitive functions such as learning and memory. Striking new evidence implicates the dysregulation of epigenetic mechanisms in neurodegenerative disorders and diseases. Although these disorders differ in their underlying causes and pathophysiologies, many involve the dysregulation of restrictive element 1-silencing transcription factor (REST), which acts via epigenetic mechanisms to regulate gene expression. Although not somatically heritable, epigenetic modifications in neurons are dynamic and reversible, which makes them good targets for therapeutic intervention.",28515491,PMC6380351,10.1038/nrn.2017.46,133,Nature reviews. Neuroscience,100962781,38.755,0.7633073329925537,0.9732441471571907,0.9966555183946488,8.40363322922697
Epigenetics and DNA methylomic profiling in Alzheimer's disease and other neurodegenerative diseases,"Recent studies have suggested a role for epigenetic mechanisms in the complex etiology of various neurodegenerative diseases. In this review, we discuss advances that have been made toward understanding the role of epigenetic processes in neurodegenerative disorders, with a particular focus on Alzheimer's disease, where the most extensive studies have been undertaken to date. We provide a brief overview of DNA modifications, followed by a summarization of studies of DNA modifications in Alzheimer's disease and other neurodegenerative diseases.",28805248,,10.1111/jnc.14148,36,Journal of neurochemistry,2985190R,0.0,0.7592254281044006,0.8327759197324415,0.010033444816053512,0.6220904408091287
Epigenetics of Alzheimer's Disease,"There are currently no validated biomarkers which can be used to accurately diagnose Alzheimer's disease (AD) or to distinguish it from other dementia-causing neuropathologies. Moreover, to date, only symptomatic treatments exist for this progressive neurodegenerative disorder. In the search for new, more reliable biomarkers and potential therapeutic options, epigenetic modifications have emerged as important players in the pathogenesis of AD. The aim of the article was to provide a brief overview of the current knowledge regarding the role of epigenetics (including mitoepigenetics) in AD, and the possibility of applying these advances for future AD therapy. Extensive research has suggested an important role of DNA methylation and hydroxymethylation, histone posttranslational modifications, and non-coding RNA regulation (with the emphasis on microRNAs) in the course and development of AD. Recent studies also indicated mitochondrial DNA (mtDNA) as an interesting biomarker of AD, since dysfunctions in the mitochondria and lower mtDNA copy number have been associated with AD pathophysiology. The current evidence suggests that epigenetic changes can be successfully detected, not only in the central nervous system, but also in the cerebrospinal fluid and on the periphery, contributing further to their potential as both biomarkers and therapeutic targets in AD.",33573255,PMC7911414,10.3390/biom11020195,54,Biomolecules,101596414,6.064,0.7554566264152527,0.9130434782608695,0.6086956521739131,1.8486826715013254
Neurodegeneration and epigenetics: A review,"Neuronal function and differentiation are tightly regulated by both genome and epigenome. Based on the environmental information the epigenetic changes occur. Neurodegeneration is the consequence of dysregulation of both the genome and epigenome. In this study, we saw different types of alterations of epigenome present in neuronal cells of different model organisms for neurodegenerative disorders. The epigenetic modifications including chromatin modification, DNA methylation, and changes in regulatory RNAs (miRNA) are having a great impact on neurodegenerative disorders as well as memory. The effects of these re-editing in the neuronal cells cause Alzheimer's disease, Parkinson's disease, Huntington's disease but an unusual form of neuroepigenetics has been seen in Prion Disease. Subsequently, for the development of treatment of these diseases, epigenetic modifications should be kept in mind. Although until now many reports came on drug discovery inhibiting histone deacetylases and DNA methyltransferases to reverse the epigenetic change but they lack targeted delivery and sometimes cause a cytotoxic effect on neuronal cells. In future, advancement in targeted and non-cytotoxic drugs should be the main focus for therapeutic treatment of the neurodegenerative disorders.",37344098,,10.1016/j.nrleng.2023.05.001,5,Neurologia,101778590,0.0,0.7520125508308411,0.3712374581939799,0.013377926421404682,0.5254550221373007
Multiregional analysis of global 5-methylcytosine and 5-hydroxymethylcytosine throughout the progression of Alzheimer's disease,"Epigenetic modifications to cytosine are known to alter transcriptional states and deregulate gene expression in cancer, embryonic development, and most recently in neurodegeneration. To test the hypothesis that global levels of cytosine modification are altered throughout the progression of Alzheimer's disease, 5-methylcytosine (5-mC) and 5-hydroxymethylcytosine (5-hmC) were quantified using gas chromatography/mass spectrometry (GC/MS) and stable labeled internal standards of cytosine, 5-mC, and 5-hmC. Cytosine modifications were quantified in DNA extracted from tissue specimens of four brain regions (cerebellum, inferior parietal lobe, superior and middle temporal gyrus, and hippocampus/parahippocampal gyrus) of cognitively normal control (NC) subjects and subjects with mild cognitive impairment (MCI), preclinical Alzheimer's disease (PCAD), late onset Alzheimer's disease, frontotemporal lobar degeneration (FTLD) and dementia with Lewy bodies (DLB). Repeated measures analyses of the data show significant alterations in 5-mC and 5-hmC in early stages of Alzheimer's disease (PCAD and MCI), as well as FTLD and DLB subjects, across multiple regions of the brain. These data suggest alterations in epigenetic regulation of genes may play an early role in the progression of AD as well as other types of neurodegeneration.",27889911,PMC5250541,10.1111/jnc.13912,21,Journal of neurochemistry,2985190R,0.0,0.7463239431381226,0.7190635451505016,0.016722408026755852,0.5916070749129739
Epigenetics of Aging and Alzheimer's Disease: Implications for Pharmacogenomics and Drug Response,"Epigenetic variability (DNA methylation/demethylation, histone modifications, microRNA regulation) is common in physiological and pathological conditions. Epigenetic alterations are present in different tissues along the aging process and in neurodegenerative disorders, such as Alzheimer's disease (AD). Epigenetics affect life span and longevity. AD-related genes exhibit epigenetic changes, indicating that epigenetics might exert a pathogenic role in dementia. Epigenetic modifications are reversible and can potentially be targeted by pharmacological intervention. Epigenetic drugs may be useful for the treatment of major problems of health (e.g., cancer, cardiovascular disorders, brain disorders). The efficacy and safety of these and other medications depend upon the efficiency of the pharmacogenetic process in which different clusters of genes (pathogenic, mechanistic, metabolic, transporter, pleiotropic) are involved. Most of these genes are also under the influence of the epigenetic machinery. The information available on the pharmacoepigenomics of most drugs is very limited; however, growing evidence indicates that epigenetic changes are determinant in the pathogenesis of many medical conditions and in drug response and drug resistance. Consequently, pharmacoepigenetic studies should be incorporated in drug development and personalized treatments.",26703582,PMC4691177,10.3390/ijms161226236,41,International journal of molecular sciences,101092791,6.208,0.7269104719161987,0.8528428093645485,0.6287625418060201,1.8483148450226288
Histone H3 Lysine 4 and 27 Trimethylation Landscape of Human Alzheimer's Disease,"Background:Epigenetic remodeling is emerging as a critical process for both the onset and progression of Alzheimer's disease (AD), the most common form of neurodegenerative dementia. However, it is not clear to what extent the distribution of histone modifications is involved in AD.Methods:To investigate histone H3 modifications in AD, we compared the genome-wide distributions of H3K4me3 and H3K27me3 in entorhinal cortices from severe sporadic AD patients and from age-matched healthy individuals of both sexes.Results:AD samples were characterized by typical average levels and distributions of the H3K4me3 and H3K27me3 signals. However, AD patients showed a lower H3K4me3 and higher H3K27me3 signal, particularly in males. Interestingly, the genomic sites found differentially trimethylated at the H3K4 between healthy and AD samples involve promoter regions of genes belonging to AD-related pathways such as glutamate receptor signaling.Conclusions:The signatures of H3K4me3 and H3K27me3 identified in AD patients validate the role of epigenetic chromatin remodeling in neurodegenerative disease and shed light on the genomic adaptive mechanisms involved in AD.",35203383,PMC8870338,10.3390/cells11040734,6,Cells,101600052,7.666,0.7232117056846619,0.3979933110367893,0.8127090301003345,2.046725685618155
Alzheimer's Disorder: Epigenetic Connection and Associated Risk Factors,"The gene based therapeutics and drug targets have shown incredible and appreciable advances in alleviating human sufferings and complexities. Epigenetics simply means above genetics or which controls the organism beyond genetics. At present it is very clear that all characteristics of an individual are not determined by DNA alone, rather the environment, stress, life style and nutrition play a vital part in determining the response of an organism. Thus, nature (genetic makeup) and nurture (exposure) play equally important roles in the responses observed, both at the cellular and organism levels. Epigenetics influence plethora of complications at cellular and molecular levels that includes cancer, metabolic and cardiovascular complications including neurological (psychosis) and neurodegenerative disorders (Alzheimer's disease, Parkinson disease etc.). The epigenetic mechanisms include DNA methylation, histone modification and non coding RNA which have substantial impact on progression and pathways linked to Alzheimer's disease. The epigenetic mechanism gets deregulated in Alzheimer's disease and is characterized by DNA hyper methylation, deacetylation of histones and general repressed chromatin state which alter gene expression at the transcription level by upregulation, downregulation or silencing of genes. Thus, the processes or modulators of these epigenetic processes have shown vast potential as a therapeutic target in Alzheimer's disease.",31989902,PMC7536832,10.2174/1570159X18666200128125641,27,Current neuropharmacology,101157239,7.708,0.7164170145988464,0.7725752508361204,0.8361204013377926,2.125965258926532
Understanding Epigenetics in the Neurodegeneration of Alzheimer's Disease: SAMP8 Mouse Model,"Epigenetics is emerging as the missing link among genetic inheritance, environmental influences, and body and brain health status. In the brain, specific changes in nucleic acids or their associated proteins in neurons and glial cells might imprint differential patterns of gene activation that will favor either cognitive enhancement or cognitive loss for more than one generation. Furthermore, derangement of age-related epigenetic signaling is appearing as a significant risk factor for illnesses of aging, including neurodegeneration and Alzheimer's disease (AD). In addition, better knowledge of epigenetic mechanisms might provide hints and clues in the triggering and progression of AD. Intense research in experimental models suggests that molecular interventions for modulating epigenetic mechanisms might have therapeutic applications to promote cognitive maintenance through an advanced age. The SAMP8 mouse is a senescence model with AD traits in which the study of epigenetic alterations may unveil epigenetic therapies against the AD.",29562529,PMC5870033,10.3233/JAD-170664,42,Journal of Alzheimer's disease : JAD,9814863,4.16,0.7158214449882507,0.8662207357859532,0.3712374581939799,1.4347370141501412
Neuroprotective factors affect the progression of Alzheimer's disease,"Alzheimer's disease(AD) is a neurodegenerative disease that occurs mostly in the elderly and is characterized by chronic progressive cognitive dysfunction, which seriously threatens the health and life-quality of patients. Alterations at the molecular level, which causes pathological changes of AD brain, have impacted the progression of AD. In this review, we illustrate the recent evidence of the alteration of neuroprotective proteins in AD, such as changes in their contents and variants. Furthermore, we elucidate the single nucleotide polymorphism (SNP) and gene changes. Finally, we highlight the epigenetic changes in AD, which helps to display the characteristics of the disease and provides guidance regarding research hot spots in the field against AD.",37797415,,10.1016/j.bbrc.2023.09.042,0,Biochemical and biophysical research communications,0372516,0.0,0.7129322290420532,0.010033444816053512,0.020066889632107024,0.4297660263884427
Recent studies on cellular and molecular mechanisms in Alzheimer's disease: focus on epigenetic factors and histone deacetylase,"Alzheimer's disease (AD) is one of the most common neurodegenerative disorders mainly affecting elderly people. It is characterized by progressive loss of memory and cognitive function. More than 95% of AD cases are related to sporadic or late-onset AD (LOAD). The etiology of LOAD is still unclear. It has been reported that environmental factors and epigenetic alterations play a significant role in AD pathogenesis. Furthermore, recently, genome-wide association studies (GWAS) identified 10 novel risk genes: ABCA7, APOE, BIN1, CD2AP, CD33, CLU, CR1, MS4A6A, MS4A4E, and PICALM, which play an important role for LOAD. In this review, the therapeutic approaches of AD by epigenetic modifications have been discussed. Nowadays, HDAC inhibitors have clinically proven its activity for epigenetic modifications. Furthermore, we try to establish the relationship between HDAC inhibitors and above mentioned LOAD risk genes. Finally, we are hoping that this review may open new area of research for AD treatment.",29397389,,10.1515/revneuro-2017-0049,15,Reviews in the neurosciences,8711016,4.703,0.7074047327041626,0.6421404682274248,0.4916387959866221,1.4934709332679827
Epigenetic regulation in Alzheimer's disease: is it a potential therapeutic target?,"Introduction: Alzheimer's disease (AD) is the most common neurodegenerative disorder and the primary form of dementia in the elderly. Changes in DNA methylation and post-translational modifications of histone tails are increasingly observed in AD tissues, and likely contribute to disease onset and progression. The reversibility of these epigenetic marks offers the potential for therapeutic interventions.Areas covered: After a concise and updated overview of DNA methylation and post-translational modifications of histone tails in AD tissues, this review provides an overview of the animal and cell culture studies investigating the potential of targeting these modifications to attenuate AD-like features. PubMed was searched for relevant literature between 2003 and 2021.Expert opinion: Methyl donor compounds and drugs acting on histone tail modifications attenuated the AD-like features and improved cognition in several transgenic AD mice; however, there are concerns about safety and tolerability for long-term treatment in humans. The challenges will be to take advantage of recent epigenome-wide investigations to identify the principal targets for future interventions, and to design novel, selective and safer agents. Natural compounds exerting epigenetic properties could represent a promising opportunity to delay disease onset in middle-aged individuals at increased AD risk.",33843425,,10.1080/14728222.2021.1916469,9,Expert opinion on therapeutic targets,101127833,6.797,0.6956482529640198,0.4916387959866221,0.7357859531772575,1.875116710975736
Potential Epigenetic Targets for Combating Alzheimer's Disease,"Memory remains an obligatory regime of the human brain, and impaired memory causes serious obstacles in our everyday life. Alzheimer's disease (AD) is one such neurodegenerative disease which mostly affects the elderly population, above the age of 60; marked by cognitive impairment of memory. Besides the known targets of AD against the several etiologies known to date, the zone of epigenetics has recently evolved as an ingenious field in AD. Epigenetic modifications do not affect DNA sequence but only long-term gene expression. Considering the complex multifactorial nature of AD, we herein discuss the various epigenetic targets which might give rise to potential therapeutic approaches. We reviewed the possible epigenetic targets for AD-like HDAC, Sirtuins, glial cells, miRNA and epigenetic modifications like DNA methylation. A deeper insight into these target areas can surely evolve AD diagnosis and therapeutics.",33371834,,10.2174/1389557521999201228191427,1,Mini reviews in medicinal chemistry,101094212,3.737,0.6824679374694824,0.13377926421404682,0.3277591973244147,1.1836366153244988
Gut Microbiota Composition and Epigenetic Molecular Changes Connected to the Pathogenesis of Alzheimer's Disease,"Alzheimer's disease (AD) is a neurodegenerative disorder, and its pathogenesis is not fully known. Although there are several hypotheses, such as neuroinflammation, tau hyperphosphorylation, amyloid-Î² plaques, neurofibrillary tangles, and oxidative stress, none of them completely explain the origin and progression of AD. Emerging evidence suggests that gut microbiota and epigenetics can directly influence the pathogenesis of AD via their effects on multiple pathways, including neuroinflammation, oxidative stress, and amyloid protein. Various gut microbes such as Actinobacteria, Bacteroidetes, E. coli, Firmicutes, Proteobacteria, Tenericutes, and Verrucomicrobia are known to play a crucial role in the pathogenesis of AD. These microbes and their metabolites modulate various physiological processes that contribute to AD pathogenesis, such as neuroinflammation and other inflammatory processes, amyloid deposition, cytokine storm syndrome, altered BDNF and NMDA signaling, impairing neurodevelopmental processes. Likewise, epigenetic markers associated with AD mainly include histone modifications and DNA methylation, which are under the direct control of a variety of enzymes, such as acetylases and methylases. The activity of these enzymes is dependent upon the metabolites generated by the host's gut microbiome, suggesting the significance of epigenetics in AD pathogenesis. It is interesting to know that both gut microbiota and epigenetics are dynamic processes and show a high degree of variation according to diet, stressors, and environmental factors. The bidirectional relation between the gut microbiota and epigenetics suggests that they might work in synchrony to modulate AD representation, its pathogenesis, and progression. They both also provide numerous targets for early diagnostic biomarkers and for the development of AD therapeutics. This review discusses the gut microbiota and epigenetics connection in the pathogenesis of AD and aims to highlight vast opportunities for diagnosis and therapeutics of AD.",33829390,,10.1007/s12031-021-01829-3,20,Journal of molecular neuroscience : MN,9002991,2.866,0.6603914499282837,0.6989966555183946,0.25418060200668896,1.109234201060649
Epigenome-wide association studies in Alzheimer's disease; achievements and challenges,"Alzheimer's disease (AD) represents a devastating progressive neurodegenerative disease with a complex pathophysiology, affecting millions of people worldwide. Recent epigenome-wide association studies suggest a key role for epigenetic mechanisms in its development and course. Despite the fact that current evidence on the role of epigenetic dysregulation in aging and AD is convincing, the pioneering field of neuroepigenetics is still facing many challenges that need to be addressed to fundamentally increase our understanding about the underlying mechanisms of this neurodegenerative disorder. This perspective paper describes the current state of play for epigenetic research into AD and discusses how new methodological advances in the field of epigenetics and related data science disciplines could further spur the development of novel therapeutic agents and biomarker assays.",32654262,PMC8018126,10.1111/bpa.12880,6,"Brain pathology (Zurich, Switzerland)",9216781,7.611,0.6552256941795349,0.4013377926421405,0.7892976588628763,1.995602975036149
Uncovering the Role of the Methylome in Dementia and Neurodegeneration,"Our understanding of the epigenome has advanced dramatically over the past decade, particularly in terms of DNA methylation, a modification found throughout the genome. Studies of the brain and neurons have outlined an increasingly complex architecture involving not just CG dinucleotide methylation but also methylation of other dinucleotides, and modifications of methylated bases such as 5-hydroxymethylcytosine. Different modifications may play an important role in brain development, function and decline; recent descriptions of the effects of aging and neurodegenerative processes such as Alzheimer disease on methylation profiles have ushered in an era of DNA methylome-wide association studies. Rapidly improving technologies and study designs are returning robust results, and investigations of the human brain's epigenome are increasingly feasible, complementing insights gained from genetic studies.",27423266,,10.1016/j.molmed.2016.06.008,13,Trends in molecular medicine,100966035,15.272,0.6514657735824585,0.5919732441471572,0.9498327759197325,3.5636741129789065
Cross Talk Between Aluminum and Genetic Susceptibility and Epigenetic Modification in Alzheimer's Disease,"This chapter primarily focuses on two key aspects related to aluminum neurotoxicity and its mechanism in Alzheimer's disease (AD), which are genetic susceptibility and epigenetic modification. The toxicity of aluminum has been confirmed from plant experiments, animal experiments, in vitro experiments, and epidemiological studies. However, the mechanisms underlying this phenomenon have largely remained elusive. Furthermore, there are more and more genetic factors that have been found to be strongly implicated for causing or increasing the risk of AD development and have been proved to be associated with the neurotoxicity of Al and play a significant role in the initiation and progression of AD. Epigenetics provide a bridge between genes and environment to improve our understanding on the etiology of AD. Al can modify the epigenetic status by DNA methylation, histone modifications, and noncoding RNAs and might thereby contribute to the pathophysiology of AD. However, very little is known about exact epigenetic patterns in AD.",30315455,,10.1007/978-981-13-1370-7_10,5,Advances in experimental medicine and biology,0121103,0.0,0.642768919467926,0.3745819397993311,0.023411371237458192,0.46057773964062176
