Title,Abstract,PMID,PMCID,DOI,Cited Number
The PERK-Dependent Molecular Mechanisms as a Novel Therapeutic Target for Neurodegenerative Diseases,"Higher prevalence of neurodegenerative diseases is strictly connected with progressive aging of the world population. Interestingly, a broad range of age-related, neurodegenerative diseases is characterized by a common pathological mechanism-accumulation of misfolded and unfolded proteins within the cells. Under certain circumstances, such protein aggregates may evoke endoplasmic reticulum (ER) stress conditions and subsequent activation of the unfolded protein response (UPR) signaling pathways via the protein kinase RNA-like endoplasmic reticulum kinase (PERK)-dependent manner. Under mild to moderate ER stress, UPR has a pro-adaptive role. However, severe or long-termed ER stress conditions directly evoke shift of the UPR toward its pro-apoptotic branch, which is considered to be a possible cause of neurodegeneration. To this day, there is no effective cure for Alzheimer's disease (AD), Parkinson's disease (PD), Huntington's disease (HD), or prion disease. Currently available treatment approaches for these diseases are only symptomatic and cannot affect the disease progression. Treatment strategies, currently under detailed research, include inhibition of the PERK-dependent UPR signaling branches. The newest data have reported that the use of small-molecule inhibitors of the PERK-mediated signaling branches may contribute to the development of a novel, ground-breaking therapeutic approach for neurodegeneration. In this review, we critically describe all the aspects associated with such targeted therapy against neurodegenerative proteopathies.",32204380,PMC7139310,10.3390/ijms21062108,31
Inverse Relationship Between Alzheimer's Disease and Cancer: How Immune Checkpoints Might Explain the Mechanisms Underlying Age-Related Diseases,"Alzheimer's disease (AD) is the most prevalent neurodegenerative disease in the adult population. There is evidence of an inverse epidemiological relationship between AD and cancer, another prevalent age-related disease. This has led to hypothesize that there could be a common biological mechanism, deregulated in opposite directions that might explain the phenomenon of mutual protection. The immunological system and its regulatory checkpoints are good candidates to explain why having survived a cancer could protect from developing AD. During cancerous growth, the neoplastic cells induce immune tolerance to block the host's immunity system that would prevent tumor growth. This has led to the development of drugs that block distinct immune checkpoints, such as Programmed Death 1 (PD-1) and its major ligand PD-L1, that have shown great promise in treating diverse types of cancer. We propose that in those individuals who survived a cancer, the immune system is left in a state of diminished tolerance or proinflammatory systemic milieu, after its successful attempt to fight the cancer, that protects them from developing AD.",31839609,,10.3233/JAD-190839,11
Neuropeptides: Roles and Activities as Metal Chelators in Neurodegenerative Diseases,"Neurodegenerative diseases, such as Alzheimer's disease (AD) and Parkinson's disease (PD), are characterized by deposits of amyloid proteins. The homeostasis of metal ions is crucial for the normal biological functions in the brain. However, in AD and PD, the imbalance of metal ions leads to formation of amyloid deposits. In the past four decades, there has been extensive effort to design compound agents than can chelate metal ions with the aim of preventing the formation of the amyloid deposits. Unfortunately, the compounds to date that were designed were not successful candidates to be used in clinical trials. Neuropeptides are small molecules that are produced and released by neurons. It has been shown that neuropeptides have neuroprotective effects in the brain and reduce the formation of amyloid deposits. This Review Article is focused on the function of neuropeptides as metal chelators. Experimental and computational studies demonstrated that neuropeptides could bind metal ions, such as Cu2+and Zn2+. This Review Article provides perspectives and initiates future studies to investigate the role of neuropeptides as metal chelators in neurodegenerative diseases.",33570949,PMC8389909,10.1021/acs.jpcb.0c11151,13
Therapeutic Potential of Human Stem Cell Implantation in Alzheimer's Disease,"Alzheimer's disease (AD) is a progressive debilitating neurodegenerative disease and the most common form of dementia in the older population. At present, there is no definitive effective treatment for AD. Therefore, researchers are now looking at stem cell therapy as a possible treatment for AD, but whether stem cells are safe and effective in humans is still not clear. In this narrative review, we discuss both preclinical studies and clinical trials on the therapeutic potential of human stem cells in AD. Preclinical studies have successfully differentiated stem cells into neurons in vitro, indicating the potential viability of stem cell therapy in neurodegenerative diseases. Preclinical studies have also shown that stem cell therapy is safe and effective in improving cognitive performance in animal models, as demonstrated in the Morris water maze test and novel object recognition test. Although few clinical trials have been completed and many trials are still in phase I and II, the initial results confirm the outcomes of the preclinical studies. However, limitations like rejection, tumorigenicity, and ethical issues are still barriers to the advancement of stem cell therapy. In conclusion, the use of stem cells in the treatment of AD shows promise in terms of effectiveness and safety.",34576314,PMC8471075,10.3390/ijms221810151,12
Potential Clinical Role of Prokineticin 2 (PK2) in Neurodegenerative Diseases,"The role of the immune system in neurodegenerative diseases such as Alzheimer's disease (AD) and Parkinson's disease (PD) has become clear in recent decades, as evidenced by the presence of activated microglia and astrocytes and numerous soluble mediators in the brain and peripheral tissues of affected patients. Among inflammatory mediators, chemokines play a central role in neuroinflammation due to their dual function as chemoattractants for immune cells and molecular messengers in crosstalk among CNS-resident cells. The chemokine Bv8/Prokineticin 2 (PK2) has recently emerged as an important player in many age-related and chronic diseases that are either neurodegenerative or systemic. In this perspective paper, we briefly discuss the role that PK2 and its cognate receptors play in AD and PD animal models and in patients. Given the apparent changes in PK2 blood levels in both AD and PD patients, the potential clinical value of PK2 either as a disease biomarker or as a therapeutic target for these disorders is discussed.",35410604,PMC9886845,10.2174/1570159X20666220411084612,4
Aplysia Neurons as a Model of Alzheimer's Disease: Shared Genes and Differential Expression,"Although Alzheimer's disease (AD) is the most common form of dementia in the United States, development of therapeutics has proven difficult. Invertebrate alternatives to current mammalian AD models have been successfully employed to study the etiology of the molecular hallmarks of AD. The marine snail Aplysia californica offers a unique and underutilized system in which to study the physiological, behavioral, and molecular impacts of AD. Mapping of the Aplysia proteome to humans and cross-referencing with two databases of genes of interest in AD research identified 898 potential orthologs of interest in Aplysia. Included among these orthologs were alpha, beta and gamma secretases, amyloid-beta, and tau. Comparison of age-associated differential expression in Aplysia sensory neurons with that of late-onset AD in the frontal lobe identified 59 ortholog with concordant differential expression across data sets. The 21 concordantly upregulated genes suggested increased cellular stress and protein dyshomeostasis. The 47 concordantly downregulated genes included important components of diverse neuronal processes, including energy metabolism, mitochondrial homeostasis, synaptic signaling, Ca++regulation, and cellular cargo transport. Compromised functions in these processes are known hallmarks of both human aging and AD, the ramifications of which are suggested to underpin cognitive declines in aging and neurodegenerative disease.",34664226,PMC8840921,10.1007/s12031-021-01918-3,2
The metabolic spatial covariance pattern of definite idiopathic normal pressure hydrocephalus: an FDG PET study with principal components analysis,"Identification of patients with idiopathic normal pressure hydrocephalus (iNPH) in a collective with suspected neurodegenerative disease is essential. This study aimed to determine the metabolic spatial covariance pattern of iNPH on FDG PET using an established technique based on scaled subprofile model principal components analysis (SSM-PCA).We identified 11 patients with definite iNPH. By applying SSM-PCA to the FDG PET data, they were compared to 48 age-matched healthy controls to determine the whole-brain voxel-wise metabolic spatial covariance pattern of definite iNPH (iNPH-related pattern, iNPHRP). The iNPHRP score was compared between groups of patients with definite iNPH, possible iNPH (N = 34), Alzheimer's (AD, N = 38), and Parkinson's disease (PD, N = 35) applying pairwise Mann-Whitney U tests and correction for multiple comparisons.SSM-PCA of FDG PET revealed an iNPHRP that is characterized by relative negative voxel weights at the vicinity of the lateral ventricles and relative positive weights in the paracentral midline region. The iNPHRP scores of patients with definite iNPH were substantially higher than in patients with AD and PD (both p < 0.05) and non-significantly higher than those of patients with possible iNPH. Subject scores of the iNPHRP discriminated definite iNPH from AD and PD with 96% and 100% accuracy and possible iNPH from AD and PD with 83% and 86% accuracy.We defined a novel metabolic spatial covariance pattern of iNPH that might facilitate the differential diagnosis of iNPH versus other neurodegenerative disorders. The knowledge of iNPH-associated alterations in the cerebral glucose metabolism is of high relevance as iNPH constitutes an important differential diagnosis to dementia and movement disorders.",37980531,PMC10657637,10.1186/s13195-023-01339-x,0
What to make of equivocal amyloid imaging results,"Introduction:Six patients with equivocal amyloid-PET results are discussed.Methods:Patients underwent clinical/neuropsychological assessment, MRI, and amyloid-PET. Equivocal amyloid-PET was defined as cortical ligand binding with SUVR < 1.40. Follow-up for up to 5 years is presented.Results:6 patients (4 males, 2 females, mean age 71.8 +/- 2.5 years) with equivocal amyloid-PET were included from 136 patients who underwent amyloid-PET (4.4% of cases). Patients had variable language, behavioral, and cognitive deficits. Progression varied from no deterioration to residential care within 3 years.Discussion:Equivocal amyloid-PET should be interpreted cautiously. Improved biomarkers of AD and other neurodegenerative diseases are needed.",32412323,,10.1080/13554794.2020.1764056,1
Senescence Targeting Methods Impact Alzheimer's Disease Features in 3xTg Mice,"Background:Cellular senescence has been associated with neurodegenerative disease and clearance of senescent cells using genetic or pharmaceutical strategies (senolytics) has demonstrated beneficial effects in mouse models investigating individual disease etiologies of Alzheimer's disease (AD). However, it has remained unclear if senescent cell clearance in a mouse model exhibiting both plaque and tau pathologies modifies the disease state (3xTg).Objective:To investigate the effects of senescent cell clearance in the 3xTg mouse model.Methods:3xTg mice were treated with senolytics (ABT263 (navitoclax; NAVI), a combination of dasatinib and quercetin (D+Q)), or subjected to transgene-mediated removal of p16-expressing cells (via INK-ATTAC).Results:Senolytic treatments consistently reduced microgliosis and ameliorated both amyloid and tau pathology in 3xTg mice. Using RNA sequencing, we found evidence that synaptic dysfunction and neuroinflammation were attenuated with treatment. These beneficial effects were not observed with short-term senolytic treatment in mice with more advanced disease.Conclusions:Overall, our results further corroborate the beneficial effects senescent cell clearance could have on AD and highlight the importance of early intervention for the treatment of this debilitating disease.",38306030,PMC10939718,10.3233/JAD-230465,0
[Genetic mechanism underlying the resilience to Alzheimer's disease and its prospect for clinical application],"As the most common neurodegenerative disease, Alzheimer's disease (AD) is characterized by progressive cognitive decline and is a major threat to the health of elderly worldwide. Aside from its pathogenesis, delineation of the protective mechanism of AD is also critical for the etiological treatment. AD resilience refers to a protective mechanism which can maintain the cognitive intactness of patients despite of genetic risk factors and/or related pathology. Studies on the genetic mechanism of AD resilience are of great importance for revealing novel mechanisms and therapeutic targets, as well as optimizing polygenic risk score which can facilitate early identification and intervention for individuals at risk.",36453972,,10.3760/cma.j.cn511374-20210828-00699,0
Integrated Positron Emission Tomography/Magnetic Resonance Imaging in clinical diagnosis of Alzheimer's disease,"Alzheimer's disease (AD), a progressive neurodegenerative disease which seriously endangers the health of the aged, is the most common etiology of senile dementia. With the increasing progress of neuroimaging technology, more and more imaging methods have been applied to study Alzheimer's disease. The emergence of integrated PET/MRI (Positron Emission Tomography/Magnetic Resonance Imaging) is a major advance in multimodal molecular imaging with many advantages on the structure of resolution and contrast of image over computed tomography (CT), PET and MRI. PET/MRI is now used stepwise in neurodegenerative diseases, and also has broad prospect of application in the early diagnosis of AD. In this review, we emphatically introduce the imaging advances of AD including functional imaging and molecular imaging, the advantages of PET/MRI over other imaging methods and prospects of PET/MRI in AD clinical diagnosis, especially in early diagnosis, clinical assessment and prediction on AD.",34826792,,10.1016/j.ejrad.2021.110017,5
"A Long Journey from Childhood to Senility: The 23rd HUPO BPP Workshop: 16-17 April 2015, São Paulo, Brazil","The HUPO Brain Proteome Project (HUPO BPP) held its 23rd workshop in São Paulo, Brazil, April 16-17, 2015. The focus of the spring workshop was on strategies and predictive therapies concerning neurodegenerative diseases.",26331911,,10.1002/pmic.201570154,0
"Amyloid-Eszett (Aß), a false positive of amyloid-beta (Aβ)","When the Greek letter beta (β) is accidentally confused for the German letter Eszett (ß), and replaced by it, this can lead to some unfortunate consequences in science, academic publishing, and thus the accuracy of the academic record. In this letter, I document the existence - due to this substitution - of a false positive of amyloid-beta (Aβ), namely amyloid-Eszett (Aß), which does not exist. In total, 242 false positives were identified in PubMed. Of these, 21 were published in 2022, and these were examined in more detail. Although fundamental findings of papers related to Alzheimer's disease are likely not affected by this error, these papers do carry an error nonetheless.",36274284,,10.1016/j.msard.2022.104249,1
Narrative review: recent advances in doll therapy for Alzheimer's disease,"Alzheimer's disease (AD) is a severe neurodegenerative disease which impacts the quality of life in elderly patients and imposes a significant burden to families and caregivers. The prolonged life expectancy and rapidly increasing world population significantly increased the morbidity. Although it has been widely reported that the aggregation of Beta amyloid and neurofilaments is the most significant pathological change. Currently, there is no effective drug therapy for AD, and the potential risks of pharmacotherapy remain concerns. This article reviews the recent research on Doll therapy (DT), a widely used non-drug therapy on AD patients, especially its clinical effectiveness and precautions in treating AD, with an attempt to further alleviate the mental symptoms and improve the health status of AD patients. Thus, nonpharmacological treatments of AD have become an area of intense research interest in recent years. DT is a person-centered therapy that can improve both the mental and cognitive status and the quality of life in AD patients. Although there remains ethical controversy about the DT on AD patients, its positive effect has been proved. Moreover, a standards manual is required to stipulate the range of application, the time course for treatment and withdraw the toy from the patients.",33966426,,10.21037/apm-21-853,1
Surface plasmon resonance biosensors for detection of Alzheimer's biomarkers; an effective step in early and accurate diagnosis,"The rapid and direct detection of biomarkers in biofluids at clinically relevant concentrations faces serious limitations to develop diagnostic criteria for neurodegenerative diseases such as Alzheimer's disease (AD). In this regard, the early detection of biomarkers correlated with AD using novel modalities and instruments is at the center of attention. Recently, some newly invented optical-based biosensors namely Surface Plasmon Resonance (SPR) has been extensively investigated for the detection of biomarkers using a label-free method or by checking interaction between ligand and analyte. These approaches can sense a very small amount of target molecules in the blood and cerebrospinal fluids samples. In this review, the different hypothesis related to AD, and the structural properties of AD biomarkers was introduced. Also, we aim to highlight the specific role of available SPR-based sensing methods for early detection of AD biomarkers such as aggregated β-amyloid and tau proteins. Efforts to better understand the accuracy and efficiency of optical-based biosensors in the field of neurodegenerative disease enable us to accelerate the advent of novel modalities in the clinical setting for therapeutic and diagnostic purposes.",32858422,,10.1016/j.bios.2020.112511,18
Disruption of axonal transport in neurodegeneration,"Neurons are markedly compartmentalized, which makes them reliant on axonal transport to maintain their health. Axonal transport is important for anterograde delivery of newly synthesized macromolecules and organelles from the cell body to the synapse and for the retrograde delivery of signaling endosomes and autophagosomes for degradation. Dysregulation of axonal transport occurs early in neurodegenerative diseases and plays a key role in axonal degeneration. Here, we provide an overview of mechanisms for regulation of axonal transport; discuss how these mechanisms are disrupted in neurodegenerative diseases including Alzheimer's disease, Parkinson's disease, Huntington's disease, hereditary spastic paraplegia, amyotrophic lateral sclerosis, and Charcot-Marie-Tooth disease; and discuss therapeutic approaches targeting axonal transport.",37259916,PMC10232001,10.1172/JCI168554,11
The dawn of pirna research in various neuronal disorders,"Small non-coding PIWI-interacting RNAs (piRNAs) silence the expression of transposable elementsof eukaryotic genomes in germline cells. Additionally, piRNAs regulate chromatin modifications, such as trimethylation of histone H3 lysine 9 (H3K9me3) or DNA methylation. In the past decade, the roles of piRNAs have been characterized in somatic cells, including post-mitotic neurons. More recently, piRNAs have been shown to play important roles in brain functions and various neuronal diseases, including neurodegenerative disorders. In this review, we introduce recent findings showing the potential involvement of piRNAs in the etiology of different neurodegenerative diseases, includingamyotrophic lateral sclerosis (ALS), Alzheimer's disease (AD) and Parkinson's disease (PD). These pioneering studies on disease-associated small RNAs will contribute to improving our understanding of the pathogenesis of these neurodegenerative diseases and the development of novel therapeutic strategies.",31136989,,10.2741/4789,13
Targeting autophagy in Alzheimer's disease: Animal models and mechanisms,"Alzheimer's disease (AD) is an age-related progressive neurodegenerative disorder that leads to cognitive impairment and memory loss. Emerging evidence suggests that autophagy plays an important role in the pathogenesis of AD through the regulation of amyloid-beta (Aβ) and tau metabolism, and that autophagy dysfunction exacerbates amyloidosis and tau pathology. Therefore, targeting autophagy may be an effective approach for the treatment of AD. Animal models are considered useful tools for investigating the pathogenic mechanisms and therapeutic strategies of diseases. This review aims to summarize the pathological alterations in autophagy in representative AD animal models and to present recent studies on newly discovered autophagy-stimulating interventions in animal AD models. Finally, the opportunities, difficulties, and future directions of autophagy targeting in AD therapy are discussed.",37963840,PMC10802106,10.24272/j.issn.2095-8137.2023.294,2
Alternative Splicing and Hypoxia Puzzle in Alzheimer's and Parkinson's Diseases,"Alternative pre-mRNA splicing plays a very important role in expanding protein diversity as it generates numerous transcripts from a single protein-coding gene. Therefore, alterations lead this process to neurological human disorders, including Alzheimer's and Parkinson's diseases. Moreover, accumulating evidence indicates that the splicing machinery highly contributes to the cells' ability to adapt to different altered cellular microenvironments, such as hypoxia. Hypoxia is known to have an effect on the expression of proteins involved in a multiple of biological processes, such as erythropoiesis, angiogenesis, and neurogenesis, and is one of the important risk factors in neuropathogenesis. In this review, we discuss the current knowledge of alternatively spliced genes, which, as it is reported, are associated with Alzheimer's and Parkinson's diseases. Additionally, we highlight the possible influence of cellular hypoxic microenvironment for the formation of mRNA isoforms contributing to the development of these neurodegenerative diseases.",34440445,PMC8394294,10.3390/genes12081272,5
Role of neuroinflammation in neurodegeneration: new insights,"Previously, the contribution of peripheral infection to cognitive decline was largely overlooked however, the past 15 years have established a key role for infectious pathogens in the progression of age-related neurodegeneration. It is now accepted that the immune privilege of the brain is not absolute, and that cells of the central nervous system are sensitive to both the inflammatory events occurring in the periphery and to the infiltration of peripheral immune cells. This is particularly relevant for the progression of Alzheimer's disease, in which it has been demonstrated that patients are more vulnerable to infection-related cognitive changes. This can occur from typical infectious challenges such as respiratory tract infections, although a number of specific viral, bacterial, and fungal pathogens have also been associated with the development of the disease. To date, it is not clear whether these microorganisms are directly related to Alzheimer's disease progression or if they are opportune pathogens that easily colonize those with dementia and exacerbate the ongoing inflammation observed in these individuals. This review will discuss the impact of each of these challenges, and examine the changes known to occur with age in the peripheral immune system, which may contribute to the age-related vulnerability to infection-induced cognitive decline.",28259169,PMC5336609,10.1186/s13195-017-0241-2,111
