DOI,Title,year,Abstract,semantic_scholar_id,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id
10.3390/epigenomes8020014,Unveiling Gene Interactions in Alzheimer’s Disease by Integrating Genetic and Epigenetic Data with a Network-Based Approach,2024.0,"Alzheimer's Disease (AD) is a complex disease and the leading cause of dementia 
       of how gut microbiota disrupts lipid metabolism and discusses the implications of 
       these discoveries in guiding strategies for the prevention or treatment of 
       Alzheimer's disease based on existing data.",78cdde4bb992d41d44e4e6a8ad1cecc548f9553c,https://www.semanticscholar.org/paper/78cdde4bb992d41d44e4e6a8ad1cecc548f9553c,38627829,PMC11020986,,False,Molecular neurodegeneration,101266600
10.1084/jem.20232000,Cholesterol 25-hydroxylase mediates neuroinflammation and neurodegeneration in a mouse model of tauopathy.,2024.0,"Alzheimer's disease (AD) is characterized by amyloid plaques and neurofibrillary 
       tangles, in addition to neuroinflammation and changes in brain lipid metabolism. 
       25-Hydroxycholesterol (25-HC), a known modulator of both inflammation and lipid 
       metabolism, is produced by cholesterol 25-hydroxylase encoded by Ch25h expressed 
       as a ""disease-associated microglia"" signature gene. However, whether Ch25h 
       influences tau-mediated neuroinflammation and neurodegeneration is unknown. Here, 
       we show that in the absence of Ch25h and the resultant reduction in 25-HC, there 
       is strikingly reduced age-dependent neurodegeneration and neuroinflammation in 
       the hippocampus and entorhinal/piriform cortex of PS19 mice, which express the 
       P301S mutant human tau transgene. Transcriptomic analyses of bulk hippocampal 
       tissue and single nuclei revealed that Ch25h deficiency in PS19 mice strongly 
       suppressed proinflammatory signaling in microglia. Our results suggest a key role 
       for Ch25h/25-HC in potentiating proinflammatory signaling to promote tau-mediated 
       neurodegeneration. Ch25h may represent a novel therapeutic target for primary 
       tauopathies, AD, and other neuroinflammatory diseases.",430b6750718961977ff13d3a1e9772d880bb4002,https://www.semanticscholar.org/paper/430b6750718961977ff13d3a1e9772d880bb4002,38442267,PMC10908359,,False,The Journal of experimental medicine,2985109R
10.1007/s11033-023-09113-w,Gene expression patterns of CRYM and SIGLEC10 in Alzheimer's disease: potential early diagnostic indicators.,2024.0,"BACKGROUND: Alzheimer's disease (AD) is a neurological condition that may lead to 
       dementia as well as a slow and steady decline in cognitive ability. Finding early 
       signs that may be used in the diagnosis of AD is still a difficult aim to achieve 
       in the field of medical practice. METHODS AND RESULTS: The purpose of this 
       research was to investigate to determine any differences in the gene expression 
       patterns of crystallin mu (CRYM) and sialic acid-binding immunoglobulin-like 
       lectin 10 (SIGLEC10) in whole blood samples obtained from fifty individuals who 
       were diagnosed with AD and fifty individuals as a control group. When compared 
       with controls, it was discovered that the expression of the CRYM gene was 
       substantially decreased in AD patients, but the expression of the SIGLEC10 gene 
       was significantly higher. A positive correlation between CRYM and SIGLEC10 was 
       noticed solely in patients with AD. Furthermore, assessing the diagnostic value 
       of these genes, CRYM and SIGLEC10 transcript levels displayed an area under the 
       curve (AUC) of 0.74 and 0.81, respectively. CONCLUSIONS: These results suggest 
       that alterations in CRYM and SIGLEC10 expression may be implicated in AD 
       pathology and that these genes expression levels can potentially serve as 
       biomarkers for early detection and diagnosis of AD. Nevertheless, further 
       validation of these findings requires the inclusion of more extensive and 
       heterogeneous cohorts. The findings derived from this study possess the 
       capability to offer a significant contribution towards the progression of 
       innovative diagnostic and therapeutic strategies for AD.",942d755e4c0de8cbcb4852dfa2c5dbdd5cc3a230,https://www.semanticscholar.org/paper/942d755e4c0de8cbcb4852dfa2c5dbdd5cc3a230,38401023,,,False,Molecular biology reports,0403234
10.3390/biom14020155,Neuroprotective Roles of the Biliverdin Reductase-A/Bilirubin Axis in the Brain,2024.0,"Biliverdin reductase-A (BVRA) is a multi-functional enzyme with a multitude of 
       important roles in physiologic redox homeostasis. Classically, BVRA is well known 
       for converting the heme metabolite biliverdin to bilirubin, which is a potent 
       antioxidant in both the periphery and the brain. However, BVRA additionally 
       participates in many neuroprotective signaling cascades in the brain that 
       preserve cognition. Here, we review the neuroprotective roles of BVRA and 
       bilirubin in the brain, which together constitute a BVRA/bilirubin axis that 
       influences healthy aging and cognitive function.",437ccfb3506a85d4a324d27baed288757ca90183,https://www.semanticscholar.org/paper/437ccfb3506a85d4a324d27baed288757ca90183,38397392,PMC10887292,background,False,Biomolecules,101596414
10.1002/alz.13703,Silencing Apoe with divalent‐siRNAs improves amyloid burden and activates immune response pathways in Alzheimer's disease,2024.0,"INTRODUCTION: The most significant genetic risk factor for late-onset Alzheimer's 
       disease (AD) is APOE4, with evidence for gain- and loss-of-function mechanisms. A 
       clinical need remains for therapeutically relevant tools that potently modulate 
       APOE expression. METHODS: We optimized small interfering RNAs (di-siRNA, GalNAc) 
       to potently silence brain or liver Apoe and evaluated the impact of each pool of 
       Apoe on pathology. RESULTS: In adult 5xFAD mice, siRNAs targeting CNS Apoe 
       efficiently silenced Apoe expression and reduced amyloid burden without affecting 
       systemic cholesterol, confirming that potent silencing of brain Apoe is 
       sufficient to slow disease progression. Mechanistically, silencing Apoe reduced 
       APOE-rich amyloid cores and activated immune system responses. DISCUSSION: These 
       results establish siRNA-based modulation of Apoe as a viable therapeutic 
       approach, highlight immune activation as a key pathway affected by Apoe 
       modulation, and provide the technology to further evaluate the impact of APOE 
       silencing on neurodegeneration.",ffe73256b0b0b819bde2b5b0c7cb39e1d71e21ff,https://www.semanticscholar.org/paper/ffe73256b0b0b819bde2b5b0c7cb39e1d71e21ff,38375983,PMC11032532,,False,Alzheimer's & dementia : the journal of the Alzheimer's Association,101231978
10.1098/rstb.2022.0387,Endo-lysosomal dysfunction in neurodegenerative diseases: opinion on current progress and future direction in the use of exosomes as biomarkers,2024.0,"Over the past two decades, increased research has highlighted the connection 
       between endosomal trafficking defects and neurodegeneration. The endo-lysosomal 
       network is an important, complex cellular system specialized in the transport of 
       proteins, lipids, and other metabolites, essential for cell homeostasis. 
       Disruption of this pathway is linked to a wide range of neurodegenerative 
       diseases, including Alzheimer's disease, Parkinson's disease, amyotrophic lateral 
       sclerosis, Huntington's disease and frontotemporal dementia. Furthermore, there 
       is strong evidence that defects in this pathway create opportunities for 
       diagnostic and therapeutic intervention. In this Opinion piece, we concisely 
       address the role of endo-lysosomal dysfunction in five neurodegenerative diseases 
       and discuss how future research can investigate this intracellular pathway, 
       including extracellular vesicles with a specific focus on exosomes for the 
       identification of novel disease biomarkers. This article is part of a discussion 
       meeting issue 'Understanding the endo-lysosomal network in neurodegeneration'.",a02c5dc245c084bfffef25b1e6030c21153d7c0d,https://www.semanticscholar.org/paper/a02c5dc245c084bfffef25b1e6030c21153d7c0d,38368936,PMC10874701,,False,"Philosophical transactions of the Royal Society of London. Series B, Biological",7503623
10.1098/rstb.2022.0389,Differential effects of SORL1 deficiency on the endo-lysosomal network in human neurons and microglia,2024.0,"The endosomal gene SORL1 is a strong Alzheimer's disease (AD) risk gene that 
       harbours loss-of-function variants causative for developing AD. The SORL1 protein 
       SORL1/SORLA is an endosomal receptor that interacts with the multi-protein 
       sorting complex retromer to traffic various cargo through the endo-lysosomal 
       network (ELN). Impairments in endo-lysosomal trafficking are an early cellular 
       symptom in AD and a novel therapeutic target. However, the cell types of the 
       central nervous system are diverse and use the ELN differently. If this pathway 
       is to be effectively therapeutically targeted, understanding how key molecules in 
       the ELN function in various cell types and how manipulating them affects 
       cell-type specific responses relative to AD is essential. Here, we discuss an 
       example where deficiency of SORL1 expression in a human model leads to stress on 
       early endosomes and recycling endosomes in neurons, but preferentially leads to 
       stress on lysosomes in microglia. The differences observed in these organelles 
       could relate to the unique roles of these cells in the brain as neurons are 
       professional secretory cells and microglia are professional phagocytic cells. 
       Experiments to untangle these differences are fundamental to advancing the 
       understanding of cell biology in AD and elucidating important pathways for 
       therapeutic development. Human-induced pluripotent stem cell models are a 
       valuable platform for such experiments. This article is part of a discussion 
       meeting issue 'Understanding the endo-lysosomal network in neurodegeneration'.",a0a91103c76467e45ee333a38e681bc159b01095,https://www.semanticscholar.org/paper/a0a91103c76467e45ee333a38e681bc159b01095,38368935,PMC10874699,,False,"Philosophical transactions of the Royal Society of London. Series B, Biological",7503623
10.1101/2024.01.25.577216,A microglia clonal inflammatory disorder in Alzheimer’s Disease,2024.0,"Somatic genetic heterogeneity resulting from post-zygotic DNA mutations is 
       widespread in human tissues and can cause diseases, however few studies have 
       investigated its role in neurodegenerative processes such as Alzheimer's Disease 
       (AD). Here we report the selective enrichment of microglia clones carrying 
       pathogenic variants, that are not present in neuronal, glia/stromal cells, or 
       blood, from patients with AD in comparison to age-matched controls. Notably, 
       microglia-specific AD-associated variants preferentially target the MAPK pathway, 
       including recurrent CBL ring-domain mutations. These variants activate ERK and 
       drive a microglia transcriptional program characterized by a strong 
       neuro-inflammatory response, both in vitro and in patients. Although the natural 
       history of AD-associated microglial clones is difficult to establish in human, 
       microglial expression of a MAPK pathway activating variant was previously shown 
       to cause neurodegeneration in mice, suggesting that AD-associated 
       neuroinflammatory microglial clones may contribute to the neurodegenerative 
       process in patients.",2d47edbabebdf07a22567ff210ded29a49e6ee1d,https://www.semanticscholar.org/paper/2d47edbabebdf07a22567ff210ded29a49e6ee1d,38328106,PMC10849735,,False,bioRxiv : the preprint server for biology,101680187
10.1016/j.redox.2024.103064,SELENOK-dependent CD36 palmitoylation regulates microglial functions and Aβ phagocytosis,2024.0,"Amyloid-beta (Aβ) is a key factor in the onset and progression of Alzheimer's 
       disease (AD). Selenium (Se) compounds show promise in AD treatment. Here, we 
       revealed that selenoprotein K (SELENOK), a selenoprotein involved in immune 
       regulation and potentially related to AD pathology, plays a critical role in 
       microglial immune response, migration, and phagocytosis. In vivo and in vitro 
       studies corroborated that SELENOK deficiency inhibits microglial Aβ phagocytosis, 
       exacerbating cognitive deficits in 5xFAD mice, which are reversed by SELENOK 
       overexpression. Mechanistically, SELENOK is involved in CD36 palmitoylation 
       through DHHC6, regulating CD36 localization to microglial plasma membranes and 
       thus impacting Aβ phagocytosis. CD36 palmitoylation was reduced in the brains of 
       patients and mice with AD. Se supplementation promoted SELENOK expression and 
       CD36 palmitoylation, enhancing microglial Aβ phagocytosis and mitigating AD 
       progression. We have identified the regulatory mechanisms from Se-dependent 
       selenoproteins to Aβ pathology, providing novel insights into potential 
       therapeutic strategies involving Se and selenoproteins.",19d17c73285709041271b38cb847f8f4898274a9,https://www.semanticscholar.org/paper/19d17c73285709041271b38cb847f8f4898274a9,38320455,PMC10850786,background,False,Redox biology,101605639
10.1038/s41380-024-02428-5,Microbial infection promotes amyloid pathology in a mouse model of Alzheimer's disease via modulating γ-secretase.,2024.0,"Microbial infection as a type of environmental risk factors is considered to be 
       associated with long-term increased risk of dementia, including Alzheimer's 
       disease (AD). AD is characterized by two neuropathologically molecular hallmarks 
       of hyperphosphorylated tau and amyloid-β (Aβ), the latter generated by several 
       biochemically reactive enzymes, including γ-secretase. However, how infectious 
       risk factors contribute to pathological development of the AD core molecules 
       remains to be addressed. In this work, we utilized a modified herpes simplex 
       virus type 1 (mHSV-1) and found that its hippocampal infection locally promotes 
       Aβ pathology in 5 × FAD mice, the commonly used amyloid model. Mechanistically, 
       we identified HSV-1 membrane glycoprotein US7 (Envelope gI) that interacts with 
       and modulates γ-secretase and consequently facilitates Aβ production. 
       Furthermore, we presented evidence that adenovirus-associated virus-mediated 
       locally hippocampal overexpression of the US7 aggravates Aβ pathology in 5 × FAD 
       mice. Collectively, these findings identify a herpesviral factor regulating 
       γ-secretase in the development and progression of AD and represent a causal 
       molecular link between infectious pathogens and neurodegeneration.",f0fe46e168a5f9d17119a6a6fa109f930fa5949f,https://www.semanticscholar.org/paper/f0fe46e168a5f9d17119a6a6fa109f930fa5949f,38273109,,,False,Molecular psychiatry,9607835
10.1212/NXG.0000000000200120,Machine Learning Models of Polygenic Risk for Enhanced Prediction of Alzheimer Disease Endophenotypes,2024.0,"BACKGROUND AND OBJECTIVES: Alzheimer disease (AD) has a polygenic architecture, 
       for which genome-wide association studies (GWAS) have helped elucidate sequence 
       variants (SVs) influencing susceptibility. Polygenic risk score (PRS) approaches 
       show promise for generating summary measures of inherited risk for clinical AD 
       based on the effects of APOE and other GWAS hits. However, existing PRS 
       approaches, based on traditional regression models, explain only modest variation 
       in AD dementia risk and AD-related endophenotypes. We hypothesized that machine 
       learning (ML) models of polygenic risk (ML-PRS) could outperform standard 
       regression-based PRS methods and therefore have the potential for greater 
       clinical utility. METHODS: We analyzed combined data from the Mayo Clinic Study 
       of Aging (n = 1,791) and the Alzheimer's Disease Neuroimaging Initiative (n = 
       864). An AD PRS was computed for each participant using the top common SVs 
       obtained from a large AD dementia GWAS. In parallel, ML models were trained using 
       those SV genotypes, with amyloid PET burden as the primary outcome. Secondary 
       outcomes included amyloid PET positivity and clinical diagnosis (cognitively 
       unimpaired vs impaired). We compared performance between ML-PRS and standard PRS 
       across 100 training sessions with different data splits. In each session, data 
       were split into 80% training and 20% testing, and then five-fold cross-validation 
       was used within the training set to ensure the best model was produced for 
       testing. We also applied permutation importance techniques to assess which 
       genetic factors contributed most to outcome prediction. RESULTS: ML-PRS models 
       outperformed the AD PRS (r(2) = 0.28 vs r(2) = 0.24 in test set) in explaining 
       variation in amyloid PET burden. Among ML approaches, methods accounting for 
       nonlinear genetic influences were superior to linear methods. ML-PRS models were 
       also more accurate when predicting amyloid PET positivity (area under the curve 
       [AUC] = 0.80 vs AUC = 0.63) and the presence of cognitive impairment (AUC = 0.75 
       vs AUC = 0.54) compared with the standard PRS. DISCUSSION: We found that ML-PRS 
       approaches improved upon standard PRS for prediction of AD endophenotypes, partly 
       related to improved accounting for nonlinear effects of genetic susceptibility 
       alleles. Further adaptations of the ML-PRS framework could help to close the gap 
       of remaining unexplained heritability for AD and therefore facilitate more 
       accurate presymptomatic and early-stage risk stratification for clinical 
       decision-making.",07b663ca3c6ed4d7b5f66fe19b02eb9d17b43928,https://www.semanticscholar.org/paper/07b663ca3c6ed4d7b5f66fe19b02eb9d17b43928,38250184,PMC10798228,,False,Neurology. Genetics,101671068
10.1186/s13195-023-01376-6,Multi-omics and pathway analyses of genome-wide associations implicate regulation and immunity in verbal declarative memory performance,2024.0,"BACKGROUND: Uncovering the functional relevance underlying verbal declarative 
       memory (VDM) genome-wide association study (GWAS) results may facilitate the 
       development of interventions to reduce age-related memory decline and dementia. 
       METHODS: We performed multi-omics and pathway enrichment analyses of paragraph 
       (PAR-dr) and word list (WL-dr) delayed recall GWAS from 29,076 older non-demented 
       individuals of European descent. We assessed the relationship between 
       single-variant associations and expression quantitative trait loci (eQTLs) in 44 
       tissues and methylation quantitative trait loci (meQTLs) in the hippocampus. We 
       determined the relationship between gene associations and transcript levels in 53 
       tissues, annotation as immune genes, and regulation by transcription factors 
       (TFs) and microRNAs. To identify significant pathways, gene set enrichment was 
       tested in each cohort and meta-analyzed across cohorts. Analyses of differential 
       expression in brain tissues were conducted for pathway component genes. RESULTS: 
       The single-variant associations of VDM showed significant linkage disequilibrium 
       (LD) with eQTLs across all tissues and meQTLs within the hippocampus. Stronger 
       WL-dr gene associations correlated with reduced expression in four brain tissues, 
       including the hippocampus. More robust PAR-dr and/or WL-dr gene associations were 
       intricately linked with immunity and were influenced by 31 TFs and 2 microRNAs. 
       Six pathways, including type I diabetes, exhibited significant associations with 
       both PAR-dr and WL-dr. These pathways included fifteen MHC genes intricately 
       linked to VDM performance, showing diverse expression patterns based on cognitive 
       status in brain tissues. CONCLUSIONS: VDM genetic associations influence 
       expression regulation via eQTLs and meQTLs. The involvement of TFs, microRNAs, 
       MHC genes, and immune-related pathways contributes to VDM performance in older 
       individuals.",b1146df16c160478efb33a96114775041fa3eae9,https://www.semanticscholar.org/paper/b1146df16c160478efb33a96114775041fa3eae9,38245754,PMC10799499,background,False,Alzheimer's research & therapy,101511643
10.1371/journal.pone.0295008,Knowledge domains and emerging trends of Genome-wide association studies in Alzheimer’s disease: A bibliometric analysis and visualization study from 2002 to 2022,2024.0,"OBJECTIVES: Alzheimer's disease (AD) is a neurodegenerative disorder 
       characterized by a progressive decline in cognitive and behavioral function. 
       Studies have shown that genetic factors are one of the main causes of AD risk. 
       genome-wide association study (GWAS), as a novel and effective tool for studying 
       the genetic risk of diseases, has attracted attention from researchers in recent 
       years and a large number of studies have been conducted. This study aims to 
       summarize the literature on GWAS in AD by bibliometric methods, analyze the 
       current status, research hotspots and future trends in this field. METHODS: We 
       retrieved articles on GWAS in AD published between 2002 and 2022 from Web of 
       Science. CiteSpace and VOSviewer software were applied to analyze the articles 
       for the number of articles published, countries/regions and institutions of 
       publication, authors and cited authors, highly cited literature, and research 
       hotspots. RESULTS: We retrieved a total of 2,751 articles. The United States had 
       the highest number of publications in this field, and Columbia University was the 
       institution with the most published articles. The identification of AD-related 
       susceptibility genes and their effects on AD is one of the current research 
       hotspots. Numerous risk genes have been identified, among which APOE, CLU, CD2AP, 
       CD33, EPHA1, PICALM, CR1, ABCA7 and TREM2 are the current genes of interest. In 
       addition, risk prediction for AD and research on other related diseases are also 
       popular research directions in this field. CONCLUSION: This study conducted a 
       comprehensive analysis of GWAS in AD and identified the current research hotspots 
       and research trends. In addition, we also pointed out the shortcomings of current 
       research and suggested future research directions. This study can provide 
       researchers with information about the knowledge structure and emerging trends in 
       the field of GWAS in AD and provide guidance for future research.",b5d0022cf7a67ae7a1188be5d2b908170a40a012,https://www.semanticscholar.org/paper/b5d0022cf7a67ae7a1188be5d2b908170a40a012,38241287,PMC10798548,,False,PloS one,101285081
10.1007/s11033-023-09162-1,"Alzheimer's disease, aging, and cannabidiol treatment: a promising path to promote brain health and delay aging.",2024.0,"Alzheimer's disease (AD) is the most common neurodegenerative disease 
       characterized by progressive memory loss, neurodegeneration, and cognitive 
       decline. Aging is one of the risk factors for AD. Although the mechanisms 
       underlying aging and the incidence rate of AD are unclear, aging and AD share 
       some hallmarks, such as oxidative stress and chronic inflammation. Cannabidiol 
       (CBD), the major non-psychoactive phytocannabinoid extracted from Cannabis 
       sativa, has recently emerged as a potential candidate for delaying aging and a 
       valuable therapeutic tool for the treatment of aging-related neurodegenerative 
       diseases due to its antioxidant and anti-inflammation properties. This article 
       reviews the relevant literature on AD, CBD treatment for AD, cellular senescence, 
       aging, and CBD treatment for aging in recent years. By analyzing these published 
       data, we attempt to explore the complex correlation between cellular senescence, 
       aging, and Alzheimer's disease, clarify the positive feedback effect between the 
       senescence of neurocytes and Alzheimer's disease, and summarize the role and 
       possible molecular mechanisms of CBD in preventing aging and treating AD. These 
       data may provide new ideas on how to effectively prevent and delay aging, and 
       develop effective treatment strategies for age-related diseases such as 
       Alzheimer's disease.",cf204f89a5e7f0bf02eb3475a91ca973fe31ceba,https://www.semanticscholar.org/paper/cf204f89a5e7f0bf02eb3475a91ca973fe31ceba,38227160,,,False,Molecular biology reports,0403234
10.1007/s11033-023-08959-4,Neurotrophin growth factors and their receptors as promising blood biomarkers for Alzheimer’s Disease: a gene expression analysis study,2024.0,"BACKGROUND: Alzheimer's disease (AD) is a multifaceted neurological ailment 
       affecting more than 50 million individuals globally, distinguished by a 
       deterioration in memory and cognitive abilities. Investigating neurotrophin 
       growth factors could offer significant contributions to understanding AD 
       progression and prospective therapeutic interventions. METHODS AND RESULTS: The 
       present investigation collected blood samples from 50 patients diagnosed with AD 
       and 50 healthy individuals serving as controls. The mRNA expression levels of 
       neurotrophin growth factors and their receptors were measured using quantitative 
       PCR. A Bayesian regression model was used in the research to assess the 
       relationship between gene expression levels and demographic characteristics such 
       as age and gender. The correlations between variables were analyzed using 
       Spearman correlation coefficients, and the diagnostic potential was assessed 
       using a Receiver Operating Characteristic curve. NTRK2, TrkA, TrkC, and BDNF 
       expression levels were found to be considerably lower (p-value < 0.05) in the 
       blood samples of AD patients compared to the control group. The expression of 
       BDNF exhibited the most substantial decrease in comparison to other neurotrophin 
       growth factors. Correlation analysis indicates a statistically significant 
       positive association between the genes. The ROC analysis showed that BDNF 
       exhibited the greatest Area Under the Curve (AUC) value of 0.76, accompanied by a 
       sensitivity of 70% and specificity of 66%. TrkC, TrkA, and NTRK2 demonstrated 
       considerable diagnostic potential in distinguishing between cases and controls. 
       CONCLUSION: The observed decrease in the expression levels of NTRK2, TrkA, TrkC, 
       and BDNF in AD patients, along with the identified associations between specific 
       genes and their diagnostic capacity, indicate that these expressions have the 
       potential to function as biomarkers for the diagnosis and treatment of AD.",4c8e894eb6b631e6dd732e812b2023f4c615ca66,https://www.semanticscholar.org/paper/4c8e894eb6b631e6dd732e812b2023f4c615ca66,38165481,,,False,Molecular biology reports,0403234
10.1038/s41380-023-02372-w,ABCA7 deficiency causes neuronal dysregulation by altering mitochondrial lipid metabolism.,2023.0,"ABCA7 loss-of-function variants are associated with increased risk of Alzheimer's 
       disease (AD). Using ABCA7 knockout human iPSC models generated with CRISPR/Cas9, 
       we investigated the impacts of ABCA7 deficiency on neuronal metabolism and 
       function. Lipidomics revealed that mitochondria-related phospholipids, such as 
       phosphatidylglycerol and cardiolipin were reduced in the ABCA7-deficient 
       iPSC-derived cortical organoids. Consistently, ABCA7 deficiency-induced 
       alterations of mitochondrial morphology accompanied by reduced ATP synthase 
       activity and exacerbated oxidative damage in the organoids. Furthermore, 
       ABCA7-deficient iPSC-derived neurons showed compromised mitochondrial respiration 
       and excess ROS generation, as well as enlarged mitochondrial morphology compared 
       to the isogenic controls. ABCA7 deficiency also decreased spontaneous synaptic 
       firing and network formation in iPSC-derived neurons, in which the effects were 
       rescued by supplementation with phosphatidylglycerol or NAD(+) precursor, 
       nicotinamide mononucleotide. Importantly, effects of ABCA7 deficiency on 
       mitochondria morphology and synapses were recapitulated in synaptosomes isolated 
       from the brain of neuron-specific Abca7 knockout mice. Together, our results 
       provide evidence that ABCA7 loss-of-function contributes to AD risk by modulating 
       mitochondria lipid metabolism.",4291cae064b7a8856fc31ec173b6a73c29ccd2b3,https://www.semanticscholar.org/paper/4291cae064b7a8856fc31ec173b6a73c29ccd2b3,38135757,,,False,Molecular psychiatry,9607835
10.1002/1878-0261.13569,"Development of an optimized, non‐stem cell line for intranasal delivery of therapeutic cargo to the central nervous system",2023.0,"Neural stem cells (NSCs) are considered to be valuable candidates for delivering 
       a variety of anti-cancer agents, including oncolytic viruses, to brain tumors. 
       However, owing to the previously reported tumorigenic potential of NSC cell lines 
       after intranasal administration (INA), here we identified the human hepatic 
       stellate cell line LX-2 as a cell type capable of longer resistance to 
       replication of oncolytic adenoviruses (OAVs) as a therapeutic cargo, and that is 
       non-tumorigenic after INA. Our data show that LX-2 cells can longer withstand the 
       OAV XVir-N-31 replication and oncolysis than NSCs. By selecting the highly 
       migratory cell population out of LX-2, an offspring cell line with a higher and 
       more stable capability to migrate was generated. Additionally, as a safety 
       backup, we applied genomic herpes simplex virus thymidine kinase (HSV-TK) 
       integration into LX-2, leading to high vulnerability to ganciclovir (GCV). 
       Histopathological analyses confirmed the absence of neoplasia in the respiratory 
       tracts and brains of immuno-compromised mice 3 months after INA of LX-2 cells. 
       Our data suggest that LX-2 is a novel, robust, and safe cell line for delivering 
       anti-cancer and other therapeutic agents to the brain.",6fad960f9f70a0b2285652a4355d80187be9b013,https://www.semanticscholar.org/paper/6fad960f9f70a0b2285652a4355d80187be9b013,38115217,PMC10920084,,False,Molecular oncology,101308230
10.3389/fnagi.2023.1290657,Genome-wide association study in Alzheimer’s disease: a bibliometric and visualization analysis,2023.0,"BACKGROUND: Thousands of research studies concerning genome-wide association 
       studies (GWAS) in Alzheimer's disease (AD) have been published in the last 
       decades. However, a comprehensive understanding of the current research status 
       and future development trends of GWAS in AD have not been clearly shown. In this 
       study, we tried to gain a systematic overview of GWAS in AD by bibliometric and 
       visualization analysis. METHODS: The literature search terms are: (""genome-wide 
       analysis"" or ""genome-wide association study"" or ""whole-genome analysis"") AND 
       (""Alzheimer's Disease"" or ""Alzheimer Disease""). Relevant publications were 
       extracted from the Web of Science Core Collection (WoSCC) database. Collected 
       data were further analyzed using VOSviewer, CiteSpace and R package Bibliometrix. 
       The countries, institutions, authors and scholar collaborations were 
       investigated. The co-citation analysis of publications was visualized. In 
       addition, research hotspots and fronts were examined. RESULTS: A total of 1,350 
       publications with 59,818 citations were identified. The number of publications 
       and citations presented a significant rising trend since 2013. The United States 
       was the leading country with an overwhelming number of publications (775) and 
       citations (42,237). The University of Washington and Harvard University were the 
       most prolific institutions with 101 publications each. Bennett DA was the most 
       influential researcher with the highest local H-index. Neurobiology of Aging was 
       the journal with the highest number of publications. Aβ, tau, immunity, microglia 
