Title,Abstract,PMID,PMCID,DOI,Cited Number
scPower accelerates and optimizes the design of multi-sample single cell transcriptomic studies,"Single cell RNA-seq has revolutionized transcriptomics by providing cell type resolution for differential gene expression and expression quantitative trait loci (eQTL) analyses. However, efficient power analysis methods for single cell data and inter-individual comparisons are lacking. Here, we present scPower; a statistical framework for the design and power analysis of multi-sample single cell transcriptomic experiments. We modelled the relationship between sample size, the number of cells per individual, sequencing depth, and the power of detecting differentially expressed genes within cell types. We systematically evaluated these optimal parameter combinations for several single cell profiling platforms, and generated broad recommendations. In general, shallow sequencing of high numbers of cells leads to higher overall power than deep sequencing of fewer cells. The model, including priors, is implemented as an R package and is accessible as a web tool. scPower is a highly customizable tool that experimentalists can use to quickly compare a multitude of experimental designs and optimize for a limited budget.",34785648,PMC8595682,10.1038/s41467-021-26779-7,27
Subtyping of COVID-19 samples based on cell-cell interaction in single cell transcriptomes,"In single-cell transcriptome analysis, numerous biomarkers related to COVID-19 severity, including cell subtypes, genes, and pathways, have been identified. Nevertheless, most studies have focused on severity groups based on clinical features, neglecting immunological heterogeneity within the same severity level. In this study, we employed sample-level clustering using cell-cell interaction scores to investigate patient heterogeneity and uncover novel subtypes. The clustering results were validated using external datasets, demonstrating superior reproducibility and purity compared to gene expression- or gene set enrichment-based clustering. Furthermore, the cell-cell interaction score-based clusters exhibited a strong correlation with the WHO ordinal severity score based on clinical characteristics. By characterizing the identified subtypes through known COVID-19 severity-associated biomarkers, we discovered a ""Severe-like moderate"" subtype. This subtype displayed clinical features akin to moderate cases; however, molecular features, such as gene expression and cell-cell interactions, resembled those of severe cases. Notably, all patients who progressed from moderate to severe belonged to this subtype, underscoring the significance of cell-cell interactions in COVID-19 patient heterogeneity and severity.",37949890,PMC10638268,10.1038/s41598-023-46350-2,0
From Bite to Byte: Dental Structures Resolved at a Single-Cell Resolution,"The systematic classification of the cells that compose a tissue or an organ is key to understanding how these cells cooperate and interact as a functional unit. Our capacity to detect features that define cell identity has evolved from morphological and chemical analyses, through the use of predefined genetic markers, to unbiased transcriptomic and epigenetic profiling. The innovative technology of single-cell RNA sequencing (scRNA-seq) enables transcriptional profiling of thousands of individual cells. Since its development, scRNA-seq has been extensively applied to numerous organs and tissues in a wide range of animal models and human samples, thereby providing a plethora of fundamental biological insights into their development, homeostasis, and pathology. In this review, we present the findings of 3 recent studies that employed scRNA-seq to unravel the complexity of cellular composition in mammalian teeth. These findings offer an unprecedented catalogue of cell types in the mouse incisor, which is a convenient model system for studying continuous tooth growth. These studies identified novel cell types in the tooth epithelium and mesenchyme, as well as new markers for known cell types. Computational analyses of the data also uncovered the lineage and dynamics of cell states during ameloblast and odontoblast differentiation during both normal homeostasis and injury repair. The transcriptional differences between the mouse incisor and mouse and human molars uncover species-specific as well as shared features in tooth cell composition. Here, we highlight these findings and discuss important similarities and differences between these studies. We also discuss potential future applications of scRNA-seq in dental research and dentistry. Together, these studies demonstrate how the rapidly evolving technology of scRNA-seq can advance the study of tooth development and function and provide putative targets for regenerative approaches.",33764175,PMC8293759,10.1177/00220345211001848,9
Single-cell transcriptome analysis of Physcomitrella leaf cells during reprogramming using microcapillary manipulation,"Next-generation sequencing technologies have made it possible to carry out transcriptome analysis at the single-cell level. Single-cell RNA-sequencing (scRNA-seq) data provide insights into cellular dynamics, including intercellular heterogeneity as well as inter- and intra-cellular fluctuations in gene expression that cannot be studied using populations of cells. The utilization of scRNA-seq is, however, restricted to cell types that can be isolated from their original tissues, and it can be difficult to obtain precise positional information for these cells in situ. Here, we established single cell-digital gene expression (1cell-DGE), a method of scRNA-seq that uses micromanipulation to extract the contents of individual living cells in intact tissue while recording their positional information. With 1cell-DGE, we could detect differentially expressed genes (DEGs) during the reprogramming of leaf cells of the moss Physcomitrella patens, identifying 6382 DEGs between cells at 0 and 24 h after excision. Furthermore, we identified a subpopulation of reprogramming cells based on their pseudotimes, which were calculated using transcriptome profiles at 24 h. 1cell-DGE with microcapillary manipulation can be used to analyze the gene expression of individual cells without detaching them from their tightly associated tissues, enabling us to retain positional information and investigate cell-cell interactions.",30873540,PMC6511839,10.1093/nar/gkz181,17
A Two-Part Mixed Model for Differential Expression Analysis in Single-Cell High-Throughput Gene Expression Data,"The high-throughput gene expression data generated from recent single-cell RNA sequencing (scRNA-seq) and parallel single-cell reverse transcription quantitative real-time PCR (scRT-qPCR) technologies enable biologists to study the function of transcriptome at the level of individual cells. Compared with bulk RNA-seq and RT-qPCR gene expression data, single-cell data show notable distinct features, including excessive zero expression values, high variability, and clustered design. We propose to model single-cell high-throughput gene expression data using a two-part mixed model, which not only adequately accounts for the aforementioned features of single-cell expression data but also provides the flexibility of adjusting for covariates. An efficient computational algorithm, automatic differentiation, is used for estimating the model parameters. Compared with existing methods, our approach shows improved power for detecting differential expressed genes in single-cell high-throughput gene expression data.",35205420,PMC8872627,10.3390/genes13020377,2
Network-Based Single-Cell RNA-Seq Data Imputation Enhances Cell Type Identification,"Single-cell RNA sequencing is a powerful technology for obtaining transcriptomes at single-cell resolutions. However, it suffers from dropout events (i.e., excess zero counts) since only a small fraction of transcripts get sequenced in each cell during the sequencing process. This inherent sparsity of expression profiles hinders further characterizations at cell/gene-level such as cell type identification and downstream analysis. To alleviate this dropout issue we introduce a network-based method, netImpute, by leveraging the hidden information in gene co-expression networks to recover real signals. netImpute employs Random Walk with Restart (RWR) to adjust the gene expression level in a given cell by borrowing information from its neighbors in a gene co-expression network. Performance evaluation and comparison with existing tools on simulated data and seven real datasets show that netImpute substantially enhances clustering accuracy and data visualization clarity, thanks to its effective treatment of dropouts. While the idea of netImpute is general and can be applied with other types of networks such as cell co-expression network or protein-protein interaction (PPI) network, evaluation results show that gene co-expression network is consistently more beneficial, presumably because PPI network usually lacks cell type context, while cell co-expression network can cause information loss for rare cell types. Evaluation results on several biological datasets show that netImpute can more effectively recover missing transcripts in scRNA-seq data and enhance the identification and visualization of heterogeneous cell types than existing methods.",32244427,PMC7230610,10.3390/genes11040377,6
Cell-Cell Communication at the Embryo Implantation Site of Mouse Uterus Revealed by Single-Cell Analysis,"As a crucial step for human reproduction, embryo implantation is a low-efficiency process. Despite rapid advances in recent years, the molecular mechanism underlying embryo implantation remains poorly understood. Here, we used the mouse as an animal model and generated a single-cell transcriptomic atlas of embryo implantation sites. By analyzing inter-implantation sites of the uterus as control, we were able to identify global gene expression changes associated with embryo implantation in each cell type. Additionally, we predicted signaling interactions between uterine luminal epithelial cells and mural trophectoderm of blastocysts, which represent the key mechanism of embryo implantation. We also predicted signaling interactions between uterine epithelial-stromal crosstalk at implantation sites, which are crucial for post-implantation development. Our data provide a valuable resource for deciphering the molecular mechanism underlying embryo implantation.",34068395,PMC8153605,10.3390/ijms22105177,9
Isolation and profiling of viable tumor cells from human ex vivo glioblastoma cultures through single-cell transcriptomics,"Single-cell RNA-sequencing (scRNA-seq) is becoming a ubiquitous method in profiling the cellular transcriptomes of both malignant and non-malignant cells from the human brain. Here, we present a protocol to isolate viable tumor cells from human ex vivo glioblastoma cultures for single-cell transcriptomic analysis. We describe steps including surgical tissue collection, sectioning, culturing, primary tumor cells inoculation, growth tracking, fluorescence-based cell sorting, and population-enriched scRNA-seq. This comprehensive methodology empowers in-depth understanding of brain tumor biology at the single-cell level. For complete details on the use and execution of this protocol, please refer to Ravi et al.1.",37393609,PMC10328984,10.1016/j.xpro.2023.102383,2
Characterizing spatial gene expression heterogeneity in spatially resolved single-cell transcriptomic data with nonuniform cellular densities,"Recent technological advances have enabled spatially resolved measurements of expression profiles for hundreds to thousands of genes in fixed tissues at single-cell resolution. However, scalable computational analysis methods able to take into consideration the inherent 3D spatial organization of cell types and nonuniform cellular densities within tissues are still lacking. To address this, we developed MERINGUE, a computational framework based on spatial autocorrelation and cross-correlation analysis to identify genes with spatially heterogeneous expression patterns, infer putative cell-cell communication, and perform spatially informed cell clustering in 2D and 3D in a density-agnostic manner using spatially resolved transcriptomic data. We applied MERINGUE to a variety of spatially resolved transcriptomic data sets including multiplexed error-robust fluorescence in situ hybridization (MERFISH), spatial transcriptomics, Slide-seq, and aligned in situ hybridization (ISH) data. We anticipate that such statistical analysis of spatially resolved transcriptomic data will facilitate our understanding of the interplay between cell state and spatial organization in tissue development and disease.",34035045,PMC8494224,10.1101/gr.271288.120,50
Single-Cell Transcriptomic Profiling of Pluripotent Stem Cell-Derived SCGB3A2+ Airway Epithelium,"Lung epithelial lineages have been difficult to maintain in pure form in vitro, and lineage-specific reporters have proven invaluable for monitoring their emergence from cultured pluripotent stem cells (PSCs). However, reporter constructs for tracking proximal airway lineages generated from PSCs have not been previously available, limiting the characterization of these cells. Here, we engineer mouse and human PSC lines carrying airway secretory lineage reporters that facilitate the tracking, purification, and profiling of this lung subtype. Through bulk and single-cell-based global transcriptomic profiling, we find PSC-derived airway secretory cells are susceptible to phenotypic plasticity exemplified by the tendency to co-express both a proximal airway secretory program as well as an alveolar type 2 cell program, which can be minimized by inhibiting endogenous Wnt signaling. Our results provide global profiles of engineered lung cell fates, a guide for improving their directed differentiation, and a human model of the developing airway.",29657097,PMC5995784,10.1016/j.stemcr.2018.03.013,47
Visualizing Cluster-specific Genes from Single-cell Transcriptomics Data Using Association Plots,"Visualizing single-cell transcriptomics data in an informative way is a major challenge in biological data analysis. Clustering of cells is a prominent analysis step and the results are usually visualized in a planar embedding of the cells using methods like PCA, t-SNE, or UMAP. Given a cluster of cells, one frequently searches for the genes highly expressed specifically in that cluster. At this point, visualization is usually replaced by studying a list of differentially expressed genes. Association Plots are derived from correspondence analysis and constitute a planar visualization of the features which characterize a given cluster of observations. We have adapted Association Plots to address the challenge of visualizing cluster-specific genes in large single-cell data sets. Our method is made available as a free R package called APL. We demonstrate the application of APL and Association Plots to single-cell RNA-seq data on two example data sets. First, we present how to delineate novel marker genes using Association Plots with the example of Peripheral Blood Mononuclear Cell data. Second, we show how to apply Association Plots for annotating cell clusters to known cell types using Association Plots and a predefined list of marker genes. To do this we will use data from the human cell atlas of fetal gene expression. Results from Association Plots will also be compared to methods for deriving differentially expressed genes, and we will show the integration of APL with Gene Ontology Enrichment.",35271868,,10.1016/j.jmb.2022.167525,1
Challenges and opportunities to computationally deconvolve heterogeneous tissue with varying cell sizes using single-cell RNA-sequencing datasets,"Deconvolution of cell mixtures in ""bulk"" transcriptomic samples from homogenate human tissue is important for understanding disease pathologies. However, several experimental and computational challenges impede transcriptomics-based deconvolution approaches using single-cell/nucleus RNA-seq reference atlases. Cells from the brain and blood have substantially different sizes, total mRNA, and transcriptional activities, and existing approaches may quantify total mRNA instead of cell type proportions. Further, standards are lacking for the use of cell reference atlases and integrative analyses of single-cell and spatial transcriptomics data. We discuss how to approach these key challenges with orthogonal ""gold standard"" datasets for evaluating deconvolution methods.",38098055,PMC10722720,10.1186/s13059-023-03123-4,5
ASURAT: functional annotation-driven unsupervised clustering of single-cell transcriptomes,"Motivation:Single-cell RNA sequencing (scRNA-seq) analysis reveals heterogeneity and dynamic cell transitions. However, conventional gene-based analyses require intensive manual curation to interpret biological implications of computational results. Hence, a theory for efficiently annotating individual cells remains warranted.Results:We present ASURAT, a computational tool for simultaneously performing unsupervised clustering and functional annotation of disease, cell type, biological process and signaling pathway activity for single-cell transcriptomic data, using a correlation graph decomposition for genes in database-derived functional terms. We validated the usability and clustering performance of ASURAT using scRNA-seq datasets for human peripheral blood mononuclear cells, which required fewer manual curations than existing methods. Moreover, we applied ASURAT to scRNA-seq and spatial transcriptome datasets for human small cell lung cancer and pancreatic ductal adenocarcinoma, respectively, identifying previously overlooked subpopulations and differentially expressed genes. ASURAT is a powerful tool for dissecting cell subpopulations and improving biological interpretability of complex and noisy transcriptomic data.Availability and implementation:ASURAT is published on Bioconductor (https://doi.org/10.18129/B9.bioc.ASURAT). The codes for analyzing data in this article are available at Github (https://github.com/keita-iida/ASURATBI) and figshare (https://doi.org/10.6084/m9.figshare.19200254.v4).Supplementary information:Supplementary data are available at Bioinformatics online.",35924984,PMC9477531,10.1093/bioinformatics/btac541,2
Neighbor-specific gene expression revealed from physically interacting cells during mouse embryonic development,"Development of multicellular organisms is orchestrated by persistent cell-cell communication between neighboring partners. Direct interaction between different cell types can induce molecular signals that dictate lineage specification and cell fate decisions. Current single-cell RNA-seq technology cannot adequately analyze cell-cell contact-dependent gene expression, mainly due to the loss of spatial information. To overcome this obstacle and resolve cell-cell contact-specific gene expression during embryogenesis, we performed RNA sequencing of physically interacting cells (PIC-seq) and assessed them alongside similar single-cell transcriptomes derived from developing mouse embryos between embryonic day (E) 7.5 and E9.5. Analysis of the PIC-seq data identified gene expression signatures that were dependent on the presence of specific neighboring cell types. Our computational predictions, validated experimentally, demonstrated that neural progenitor (NP) cells upregulateLhx5andNkx2-1genes, when exclusively interacting with definitive endoderm (DE) cells. Moreover, there was a reciprocal impact on the transcriptome of DE cells, as they tend to upregulateRaxandGscwhen in contact with NP cells. Using individual cell transcriptome data, we formulated a means of computationally predicting the impact of one cell type on the transcriptome of its neighboring cell types. We have further developed a distinctive spatial-t-distributed stochastic neighboring embedding to display the pseudospatial distribution of cells in a 2-dimensional space. In summary, we describe an innovative approach to study contact-specific gene regulation during embryogenesis.",36595695,PMC9926237,10.1073/pnas.2205371120,6
Multiplexing Methods for Simultaneous Large-Scale Transcriptomic Profiling of Samples at Single-Cell Resolution,"Barcoding technology has greatly improved the throughput of cells and genes detected in single-cell RNA sequencing (scRNA-seq) studies. Recently, increasing studies have paid more attention to the use of this technology to increase the throughput of samples, as it has greatly reduced the processing time, technical batch effects, and library preparation costs, and lowered the per-sample cost. In this review, the various DNA-based barcoding methods for sample multiplexing are focused on, specifically, on the four major barcoding strategies. A detailed comparison of the barcoding methods is also presented, focusing on aspects such as sample/cell throughput and gene detection, and guidelines for choosing the most appropriate barcoding technique according to the personalized requirements are developed. Finally, the critical applications of sample multiplexing and technical challenges in combinatorial labeling, barcoding in vivo, and multimodal tagging at the spatially resolved resolution, as well as, the future prospects of multiplexed scRNA-seq, for example, prioritizing and predicting the severity of coronavirus disease 2019 (COVID-19) in patients of different gender and age are highlighted.",34240574,PMC8425911,10.1002/advs.202101229,20
Gene expression pattern of trophoblast-specific transcription factors in trophectoderm by analysis of single-cell RNA-seq data of human blastocyst,"The dysfunction of placenta development is correlated to the defects of pregnancy and fetal growth. The detailed molecular mechanism of placenta development is not identified in humans due to the lack of material in vivo. Trophoblast (TB) lineage derived from human embryonic stem cells (hESCs) induced by bone morphogenetic protein 4 (BMP4) has been applied as a model for studying TB lineage specification in vitro. With the development of single-cell sequencing technology, it became possible to detect the transcriptome of the post-implantation embryo at unprecedented precision. In this study, we reanalyzed single-cell RNA-seq of post-implantation embryos derived from two separate groups and identified different subtypes of trophoblast cells and their marker, respectively. At the same time, we focused on the gene expression patterns of trophoblast-specific transcription factors in different models. Our analysis sheds new light on the transcription regulation mechanism of trophoblast differentiation at the early stage of pregnancy establishment in human.",33543402,,10.1007/s10142-021-00770-3,2
Single-Cell RNA-Seq by Multiple Annealing and Tailing-Based Quantitative Single-Cell RNA-Seq (MATQ-Seq),"Single-cell technologies have emerged as advanced tools to study various biological processes that demand the single cell resolution. To detect subtle heterogeneity in the transcriptome, high accuracy and sensitivity are still desired for single-cell RNA-seq. We describe here multiple annealing and dC-tailing-based quantitative single-cell RNA-seq (MATQ-seq) with ~90% capture efficiency. In addition, MATQ-seq is a total RNA assay allowing for detection of nonpolyadenylated transcripts.",31028632,,10.1007/978-1-4939-9240-9_5,7
Recent advances in differential expression analysis for single-cell RNA-seq and spatially resolved transcriptomic studies,"Differential expression (DE) analysis is a necessary step in the analysis of single-cell RNA sequencing (scRNA-seq) and spatially resolved transcriptomics (SRT) data. Unlike traditional bulk RNA-seq, DE analysis for scRNA-seq or SRT data has unique characteristics that may contribute to the difficulty of detecting DE genes. However, the plethora of DE tools that work with various assumptions makes it difficult to choose an appropriate one. Furthermore, a comprehensive review on detecting DE genes for scRNA-seq data or SRT data from multi-condition, multi-sample experimental designs is lacking. To bridge such a gap, here, we first focus on the challenges of DE detection, then highlight potential opportunities that facilitate further progress in scRNA-seq or SRT analysis, and finally provide insights and guidance in selecting appropriate DE tools or developing new computational DE methods.",37022699,,10.1093/bfgp/elad011,1
Combined Measurement of RNA and Protein Expression on a Single-Cell Level,"Single-cell RNA sequencing (sc-RNAseq) has become a critical approach for the analysis of immune cell function and heterogeneity. So far, the immune cell isolation, based on surface marker expression predicted by the RNA expression profiles, is often limited by the poor correlation between transcript and protein expression patterns. To overcome these difficulties, novel single-cell multi-omic approaches based on the combined analysis of transcript and surface protein expression have been developed. One of the major benefits of these technologies is the possibility to use a high number of antibodies conjugated with oligonucleotide (AbOs) for the surface marker detection, thus overcoming the limit of using few surface markers as occurs in flow cytometry. Here we describe the BD Rhapsody single-cell analysis system protocol for 3' mRNA whole transcriptome analysis (WTA), combined with AbO- and Sample Tag library preparation.",34766276,,10.1007/978-1-0716-1771-7_16,0
DURIAN: an integrative deconvolution and imputation method for robust signaling analysis of single-cell transcriptomics data,"Single-cell RNA sequencing trades read-depth for dimensionality, often leading to loss of critical signaling gene information that is typically present in bulk data sets. We introduce DURIAN (Deconvolution and mUltitask-Regression-based ImputAtioN), an integrative method for recovery of gene expression in single-cell data. Through systematic benchmarking, we demonstrate the accuracy, robustness and empirical convergence of DURIAN using both synthetic and published data sets. We show that use of DURIAN improves single-cell clustering, low-dimensional embedding, and recovery of intercellular signaling networks. Our study resolves several inconsistent results of cell-cell communication analysis using single-cell or bulk data independently. The method has broad application in biomarker discovery and cell signaling analysis using single-cell transcriptomics data sets.",35709795,PMC9294432,10.1093/bib/bbac223,2
