PMID,journal_title,Journal_id
37114942,Briefings in functional genomics,101528229
34556700,Scientific reports,101563288
38735939,Journal of translational medicine,101190741
38760420,Scientific reports,101563288
33170908,PloS one,101285081
36961919,Journal of computational biology : a journal of computational molecular cell,9433358
38571424,Cancer discovery,101561693
37974462,"Cell cycle (Georgetown, Tex.)",101137841
36593576,Liver international : official journal of the International Association for the,101160857
38286161,Pharmacology & therapeutics,7905840
36702755,Briefings in bioinformatics,100912837
37805590,Breast cancer research : BCR,100927353
36761737,Frontiers in immunology,101560960
37951536,Life sciences,375521
37208327,NPJ systems biology and applications,101677786
38473938,International journal of molecular sciences,101092791
37308820,BMC genomics,100965258
36115864,Scientific reports,101563288
34048577,Nucleic acids research,411011
37498764,IEEE journal of biomedical and health informatics,101604520
37382570,"Bioinformatics (Oxford, England)",9808944
33761889,BMC genomics,100965258
28806583,Current opinion in biotechnology,9100492
35748708,"Bioinformatics (Oxford, England)",9808944
34705654,IEEE/ACM transactions on computational biology and bioinformatics,101196755
33226984,PloS one,101285081
34278374,Cell reports methods,9918227360606676
38647071,Journal of medical virology,7705876
38096184,PloS one,101285081
27686802,Advances in experimental medicine and biology,121103
38061153,Computers in biology and medicine,1250250
36847697,Briefings in bioinformatics,100912837
31856718,BMC genomics,100965258
37006253,Frontiers in immunology,101560960
38460192,"Bioinformatics (Oxford, England)",9808944
36875081,Frontiers in immunology,101560960
38146838,Statistics in medicine,8215016
37956338,Nucleic acids research,411011
31774481,Briefings in bioinformatics,100912837
36113334,Talanta,2984816R
34971537,IEEE/ACM transactions on computational biology and bioinformatics,101196755
34289034,"Bioinformatics (Oxford, England)",9808944
28276747,Expert review of proteomics,101223548
30999838,BMC bioinformatics,100965194
37087185,Methods in enzymology,212271
37191795,"Methods in molecular biology (Clifton, N.J.)",9214969
37387152,"Bioinformatics (Oxford, England)",9808944
38383453,Nature communications,101528555
38426322,Briefings in bioinformatics,100912837
36909346,Frontiers in endocrinology,101555782
38254021,BMC genomics,100965258
38678957,Computer methods and programs in biomedicine,8506513
29022303,Sheng wu gong cheng xue bao = Chinese journal of biotechnology,9426463
30458000,PloS one,101285081
37862234,"Bioinformatics (Oxford, England)",9808944
36975610,"Bioinformatics (Oxford, England)",9808944
37443183,Scientific data,101640192
36804215,"Methods (San Diego, Calif.)",9426302
37710353,Human genomics,101202210
37779245,Briefings in bioinformatics,100912837
37507114,Briefings in bioinformatics,100912837
34586379,"Bioinformatics (Oxford, England)",9808944
36305393,Sheng wu gong cheng xue bao = Chinese journal of biotechnology,9426463
36291653,Biomolecules,101596414
35976825,IEEE/ACM transactions on computational biology and bioinformatics,101196755
38489486,International journal of cancer,42124
32485022,Human mutation,9215429
38095040,Analytical chemistry,370536
31774342,Nanotoxicology,101233132
38607982,PLoS computational biology,101238922
31992752,Scientific reports,101563288
28113782,IEEE/ACM transactions on computational biology and bioinformatics,101196755
37796801,"Bioinformatics (Oxford, England)",9808944
36723808,"Methods in molecular biology (Clifton, N.J.)",9214969
25002459,Journal of the American Medical Informatics Association : JAMIA,9430800
38549156,European journal of medical research,9517857
32369552,"Bioinformatics (Oxford, England)",9808944
38095720,Human genetics,7613873
34097004,Briefings in bioinformatics,100912837
31061034,BMJ open,101552874
36624525,Alzheimer's research & therapy,101511643
31924279,Genome medicine,101475844
38530977,"Bioinformatics (Oxford, England)",9808944
38709615,IEEE journal of biomedical and health informatics,101604520
37437773,The Journal of investigative dermatology,426720
36461713,The FEBS journal,101229646
36104777,"Genetics, selection, evolution : GSE",9114088
31729402,Scientific reports,101563288
38233804,BMC genomics,100965258
38374087,NPJ systems biology and applications,101677786
34911434,BMC bioinformatics,100965194
26048077,Journal of biomedical informatics,100970413
37984718,Genomics,8800135
38211478,Food chemistry,7702639
33516699,Life sciences,375521
32969717,Circulation. Genomic and precision medicine,101714113
36869294,BMC genomic data,101775394
37626434,Microbiome,101615147
38126139,Epigenomics,101519720
37165696,The plant genome,101273919
32390946,Frontiers in endocrinology,101555782
38603606,"Bioinformatics (Oxford, England)",9808944
37709088,The Science of the total environment,330500
38483032,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",101664569
26560066,Molecular & cellular proteomics : MCP,101125647
38493339,Briefings in bioinformatics,100912837
33103271,The Plant journal : for cell and molecular biology,9207397
34127402,Journal of genetics and genomics = Yi chuan xue bao,101304616
38424541,Journal of translational medicine,101190741
36690931,BMC bioinformatics,100965194
26542228,BMC systems biology,101301827
36788531,BMC bioinformatics,100965194
37956172,PLoS biology,101183755
26859773,The ISME journal,101301086
38679745,BMC genomics,100965258
35764918,BMC genomics,100965258
33219054,Genome research,9518021
36464486,Briefings in bioinformatics,100912837
31624841,Nucleic acids research,411011
34374760,Briefings in bioinformatics,100912837
33294943,Metabolomics : Official journal of the Metabolomic Society,101274889
37400172,Advances in applied microbiology,370413
29504910,BMC bioinformatics,100965194
38303441,Mathematical biosciences and engineering : MBE,101197794
37819930,PloS one,101285081
32234433,Genomics,8800135
33266472,International journal of molecular sciences,101092791
37950741,Journal of experimental botany,9882906
36672856,Genes,101551097
30500839,PloS one,101285081
33743584,BMC bioinformatics,100965194
26773059,Nucleic acids research,411011
32988404,Genome biology,100960660
38791108,International journal of molecular sciences,101092791
37386359,BMC bioinformatics,100965194
29518575,Journal of proteomics,101475056
33785872,Scientific reports,101563288
37658061,Scientific reports,101563288
38018908,Briefings in bioinformatics,100912837
38153584,Metabolic brain disease,8610370
37634908,Medical engineering & physics,9422753
38802314,Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng,8410840
29483591,Scientific reports,101563288
38155575,Plant communications,101769147
37933857,Nucleic acids research,411011
30358822,"Bioinformatics (Oxford, England)",9808944
36583521,Briefings in bioinformatics,100912837
38238321,Scientific reports,101563288
37935586,Database : the journal of biological databases and curation,101517697
36520399,"Methods in molecular biology (Clifton, N.J.)",9214969
30582332,Journal of proteome research,101128775
38426141,PeerJ,101603425
36549921,Briefings in bioinformatics,100912837
29440596,Plant physiology,401224
31167954,Current issues in molecular biology,100931761
36532041,Frontiers in immunology,101560960
33855351,Briefings in bioinformatics,100912837
37964699,The Plant journal : for cell and molecular biology,9207397
30335973,Analytical chemistry,370536
36477976,"Bioinformatics (Oxford, England)",9808944
37942799,Molecular omics,101713384
33066802,Genome biology,100960660
37803628,"Food research international (Ottawa, Ont.)",9210143
36706978,Fungal genetics and biology : FG & B,9607601
37410918,Database : the journal of biological databases and curation,101517697
37904589,Nucleic acids research,411011
37099972,Computers in biology and medicine,1250250
36759759,BMC plant biology,100967807
37861713,Omics : a journal of integrative biology,101131135
33213365,BMC genomics,100965258
26433013,Briefings in bioinformatics,100912837
38055361,IEEE/ACM transactions on computational biology and bioinformatics,101196755
38794929,Journal of the European Academy of Dermatology and Venereology : JEADV,9216037
38288973,Expert review of molecular diagnostics,101120777
26860923,Molecular genetics and genomics : MGG,101093320
25653168,Nucleic acids research,411011
37279580,Molecular biology and evolution,8501455
27507169,BMC genomics,100965258
38001348,Communications biology,101719179
32182341,Nucleic acids research,411011
27522084,"Bioinformatics (Oxford, England)",9808944
28638141,Journal of human genetics,9808008
27986083,Genome biology,100960660
36899366,Journal of translational medicine,101190741
29890950,BMC bioinformatics,100965194
35682963,International journal of molecular sciences,101092791
36124784,"Bioinformatics (Oxford, England)",9808944
37074577,"Methods in molecular biology (Clifton, N.J.)",9214969
36549452,"Environmental pollution (Barking, Essex : 1987)",8804476
25814194,Molecular oncology,101308230
32185457,Molecular genetics and genomics : MGG,101093320
37014908,PLoS computational biology,101238922
38546521,The Chinese journal of dental research,100892845
32525020,Journal of biomedical informatics,100970413
38205966,Briefings in bioinformatics,100912837
38490204,Cell reports methods,9918227360606676
35587479,PloS one,101285081
36867994,Environment international,7807270
38003247,International journal of molecular sciences,101092791
34615866,Nature communications,101528555
28500050,"G3 (Bethesda, Md.)",101566598
29783941,BMC genomics,100965258
36830565,Biomolecules,101596414
34256701,BMC genomics,100965258
34505137,Briefings in bioinformatics,100912837
31873721,"Bioinformatics (Oxford, England)",9808944
35422041,Nature communications,101528555
28679163,Briefings in bioinformatics,100912837
32573269,Epigenomics,101519720
30990192,IEEE/ACM transactions on computational biology and bioinformatics,101196755
36318263,Nucleic acids research,411011
29142286,Scientific reports,101563288
33741983,NPJ systems biology and applications,101677786
36717859,Journal of translational medicine,101190741
34979545,"The journals of gerontology. Series A, Biological sciences and medical sciences",9502837
37861712,Omics : a journal of integrative biology,101131135
26575263,Molecular bioSystems,101251620
37530223,Plant biotechnology journal,101201889
35428171,BMC bioinformatics,100965194
38195555,Translational psychiatry,101562664
31133033,Journal of translational medicine,101190741
33086649,Biomolecules,101596414
38542485,International journal of molecular sciences,101092791
38102575,BMC cancer,100967800
30950198,Plant biotechnology journal,101201889
30883211,Annual review of biomedical engineering,100883581
35639657,"Bioinformatics (Oxford, England)",9808944
34922446,BMC bioinformatics,100965194
34864898,"Bioinformatics (Oxford, England)",9808944
29277867,"Methods in molecular biology (Clifton, N.J.)",9214969
37108298,International journal of molecular sciences,101092791
26022222,BMJ (Clinical research ed.),8900488
35672970,Studies in health technology and informatics,9214582
31020555,"Methods in molecular biology (Clifton, N.J.)",9214969
27329642,BMC bioinformatics,100965194
38791146,International journal of molecular sciences,101092791
37286740,The ISME journal,101301086
37354750,"Comparative biochemistry and physiology. Part D, Genomics & proteomics",101270611
36961504,Biology of reproduction,207224
37120674,Scientific reports,101563288
38243340,Journal of translational medicine,101190741
28590847,Journal of computational biology : a journal of computational molecular cell,9433358
32886787,Molecular biology and evolution,8501455
33377911,GigaScience,101596872
38754408,Briefings in bioinformatics,100912837
36698146,Journal of translational medicine,101190741
36796209,Ecotoxicology and environmental safety,7805381
36797494,Nature biotechnology,9604648
36648426,Human molecular genetics,9208958
35990657,Frontiers in immunology,101560960
27794557,"Bioinformatics (Oxford, England)",9808944
28185573,BMC bioinformatics,100965194
33484244,DNA research : an international journal for rapid publication of reports on genes,9423827
31811943,"Genomics, proteomics & bioinformatics",101197608
38385882,Briefings in bioinformatics,100912837
31039795,Genome medicine,101475844
36991131,Molecular psychiatry,9607835
33879792,Nature communications,101528555
37842064,PeerJ,101603425
26072472,"Bioinformatics (Oxford, England)",9808944
35709924,Genomics,8800135
29415010,PloS one,101285081
35037202,"Methods in molecular biology (Clifton, N.J.)",9214969
38284174,Journal of the European Academy of Dermatology and Venereology : JEADV,9216037
37715500,Statistics in medicine,8215016
32533167,Briefings in bioinformatics,100912837
29474529,"Bioinformatics (Oxford, England)",9808944
34521988,Experimental & molecular medicine,9607880
38454496,Microbiome,101615147
25527095,"Bioinformatics (Oxford, England)",9808944
37682480,"Methods in molecular biology (Clifton, N.J.)",9214969
28968784,Briefings in bioinformatics,100912837
36715269,Briefings in bioinformatics,100912837
37797463,Neurobiology of aging,8100437
33812384,BMC bioinformatics,100965194
37643374,Briefings in bioinformatics,100912837
37894894,International journal of molecular sciences,101092791
38250070,Frontiers in immunology,101560960
26439299,Trends in microbiology,9310916
38236805,PLoS genetics,101239074
29545283,The European respiratory journal,8803460
38626724,GigaScience,101596872
31405076,Genes,101551097
32954413,Briefings in bioinformatics,100912837
36810839,Nature communications,101528555
27794040,Nucleic acids research,411011
36239447,Journal of animal science,8003002
36520398,"Methods in molecular biology (Clifton, N.J.)",9214969
28402545,Nucleic acids research,411011
37059858,Communications biology,101719179
38529759,Genetics,374636
35871896,Advances in protein chemistry and structural biology,101497281
35609982,Nucleic acids research,411011
36496393,BMC genomics,100965258
26519403,"Methods in molecular biology (Clifton, N.J.)",9214969
30921354,PloS one,101285081
34429148,Genome biology,100960660
31220804,Plant physiology and biochemistry : PPB,9882449
30419069,PloS one,101285081
25823020,Oncogene,8711562
38612651,International journal of molecular sciences,101092791
32221617,"Bioinformatics (Oxford, England)",9808944
36123315,Environmental microbiology,100883692
32912170,BMC genomics,100965258
33309006,Public health,376507
32492257,Molecular ecology resources,101465604
32818441,Trends in biotechnology,8310903
28119307,"Bioinformatics (Oxford, England)",9808944
38012268,Nature reviews. Genetics,100962779
30509173,BMC bioinformatics,100965194
38097035,Journal of dentistry,354422
25616131,FEBS letters,155157
28472413,Nucleic acids research,411011
36551266,Biomolecules,101596414
34571248,Mitochondrion,100968751
29272335,Briefings in bioinformatics,100912837
37474525,Nature communications,101528555
36428199,Pediatrics and neonatology,101484755
30704462,BMC medical genomics,101319628
30788786,"Methods in molecular biology (Clifton, N.J.)",9214969
38103512,EBioMedicine,101647039
36300620,Nucleic acids research,411011
35796775,Journal of cancer research and clinical oncology,7902060
34389871,Mammalian genome : official journal of the International Mammalian Genome Society,9100916
25938371,Nature methods,101215604
36907096,Ecotoxicology and environmental safety,7805381
26238262,Mammalian genome : official journal of the International Mammalian Genome Society,9100916
32912315,Genome biology,100960660
38747283,Briefings in bioinformatics,100912837
26697917,Expert review of proteomics,101223548
31647104,Nucleic acids research,411011
38088480,Pest management science,100898744
27865486,Journal of dairy science,2985126R
38558467,Physiologia plantarum,1256322
37647346,Environmental toxicology,100885357
34791021,Briefings in bioinformatics,100912837
26201698,Human heredity,200525
33327941,BMC genomics,100965258
37358720,Functional & integrative genomics,100939343
30703089,PloS one,101285081
34425882,Genome biology,100960660
25721608,"Genomics, proteomics & bioinformatics",101197608
37738982,Cell reports methods,9918227360606676
38813424,Frontiers in public health,101616579
30407573,Nucleic acids research,411011
38641137,Journal of biotechnology,8411927
38308491,Molecular oncology,101308230
38790076,Genome biology,100960660
35042807,Proceedings of the National Academy of Sciences of the United States of America,7505876
36081348,Molecular plant,101465514
27318200,"Bioinformatics (Oxford, England)",9808944
28104618,Genome research,9518021
38070154,"Bioinformatics (Oxford, England)",9808944
36253443,Molecular psychiatry,9607835
30255812,BMC medical genomics,101319628
38394258,PloS one,101285081
33813889,"Philosophical transactions of the Royal Society of London. Series B, Biological",7503623
36765073,NPJ systems biology and applications,101677786
38038259,Nucleic acids research,411011
36094092,Briefings in bioinformatics,100912837
26501925,International journal of cancer,42124
35684936,Cancer medicine,101595310
27118214,BMC genomics,100965258
36914327,"Food research international (Ottawa, Ont.)",9210143
37114999,Nucleic acids research,411011
26093150,"Bioinformatics (Oxford, England)",9808944
38402799,Plant physiology and biochemistry : PPB,9882449
30639314,Molecular plant,101465514
38037058,Journal of translational medicine,101190741
33172115,Viruses,101509722
29474866,Journal of proteomics,101475056
38069227,International journal of molecular sciences,101092791
29889196,Journal of visualized experiments : JoVE,101313252
28539606,Scientific reports,101563288
37960791,Medicine,2985248R
35043143,Briefings in bioinformatics,100912837
30184058,"Bioinformatics (Oxford, England)",9808944
33203357,BMC bioinformatics,100965194
37401400,Cancer medicine,101595310
29605853,"Methods in molecular biology (Clifton, N.J.)",9214969
28951210,Biochimica et biophysica acta. Molecular basis of disease,101731730
37582339,Cancer cell,101130617
26818075,"G3 (Bethesda, Md.)",101566598
35380624,Briefings in bioinformatics,100912837
34019646,Nucleic acids research,411011
28063346,"Comparative biochemistry and physiology. Part D, Genomics & proteomics",101270611
37794356,BMC genomics,100965258
38382084,The Plant cell,9208688
37581006,The journal of gene medicine,9815764
32322099,Nature reviews. Neurology,101500072
