DOI,Title,year,Abstract,Semantic Scholar ID,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id
10.1016/j.yjmcc.2023.06.005,A novel transcription factor combination for direct reprogramming to a        spontaneously contracting human cardiomyocyte-like state.,2023.0,"The reprogramming of somatic cells to a spontaneously contracting        cardiomyocyte-like state using defined transcription factors has proven        successful in mouse fibroblasts. However, this process has been less successful        in human cells, thus limiting the potential clinical applicability of this        technology in regenerative medicine. We hypothesized that this issue is due to a        lack of cross-species concordance between the required transcription factor        combinations for mouse and human cells. To address this issue, we identified        novel transcription factor candidates to induce cell conversion between human        fibroblasts and cardiomyocytes, using the network-based algorithm Mogrify. We        developed an automated, high-throughput method for screening transcription        factor, small molecule, and growth factor combinations, utilizing acoustic liquid        handling and high-content kinetic imaging cytometry. Using this high-throughput        platform, we screened the effect of 4960 unique transcription factor combinations        on direct conversion of 24 patient-specific primary human cardiac fibroblast        samples to cardiomyocytes. Our screen revealed the combination of MYOCD, SMAD6,        and TBX20 (MST) as the most successful direct reprogramming combination, which        consistently produced up to 40% TNNT2(+) cells in just 25 days. Addition of FGF2        and XAV939 to the MST cocktail resulted in reprogrammed cells with spontaneous        contraction and cardiomyocyte-like calcium transients. Gene expression profiling        of the reprogrammed cells also revealed the expression of cardiomyocyte        associated genes. Together, these findings indicate that cardiac direct        reprogramming in human cells can be achieved at similar levels to those attained        in mouse fibroblasts. This progress represents a step forward towards the        clinical application of the cardiac direct reprogramming approach.",a8676eac2454ee568055ddccdd932b0acc9b63d6,https://www.semanticscholar.org/paper/a8676eac2454ee568055ddccdd932b0acc9b63d6,37421991,PMC10495191,,False,Journal of molecular and cellular cardiology,262322
10.3390/cells12081166,Direct Reprogramming of Resident Non-Myocyte Cells and Its Potential for In Vivo        Cardiac Regeneration.,2023.0,"Cardiac diseases are the foremost cause of morbidity and mortality worldwide. The        heart has limited regenerative potential; therefore, lost cardiac tissue cannot        be replenished after cardiac injury. Conventional therapies are unable to restore        functional cardiac tissue. In recent decades, much attention has been paid to        regenerative medicine to overcome this issue. Direct reprogramming is a promising        therapeutic approach in regenerative cardiac medicine that has the potential to        provide in situ cardiac regeneration. It consists of direct cell fate conversion        of one cell type into another, avoiding transition through an intermediary        pluripotent state. In injured cardiac tissue, this strategy directs        transdifferentiation of resident non-myocyte cells (NMCs) into mature functional        cardiac cells that help to restore the native tissue. Over the years,        developments in reprogramming methods have suggested that regulation of several        intrinsic factors in NMCs can help to achieve in situ direct cardiac        reprogramming. Among NMCs, endogenous cardiac fibroblasts have been studied for        their potential to be directly reprogrammed into both induced cardiomyocytes and        induced cardiac progenitor cells, while pericytes can transdifferentiate towards        endothelial cells and smooth muscle cells. This strategy has been indicated to        improve heart function and reduce fibrosis after cardiac injury in preclinical        models. This review summarizes the recent updates and progress in direct cardiac        reprogramming of resident NMCs for in situ cardiac regeneration.",99552ee0e99001b46b82023785c75a37430ecdc9,https://www.semanticscholar.org/paper/99552ee0e99001b46b82023785c75a37430ecdc9,37190075,PMC10136631,background,False,Cells,101600052
10.1016/j.csbj.2023.04.007,Single-cell and spatial transcriptomics: Advances in heart development and        disease applications.,2023.0,"Current transcriptomics technologies, including bulk RNA-seq, single-cell RNA        sequencing (scRNA-seq), single-nucleus RNA-sequencing (snRNA-seq), and spatial        transcriptomics (ST), provide novel insights into the spatial and temporal        dynamics of gene expression during cardiac development and disease processes.        Cardiac development is a highly sophisticated process involving the regulation of        numerous key genes and signaling pathways at specific anatomical sites and        developmental stages. Exploring the cell biological mechanisms involved in        cardiogenesis also contributes to congenital heart disease research. Meanwhile,        the severity of distinct heart diseases, such as coronary heart disease, valvular        disease, cardiomyopathy, and heart failure, is associated with cellular        transcriptional heterogeneity and phenotypic alteration. Integrating        transcriptomic technologies in the clinical diagnosis and treatment of heart        diseases will aid in advancing precision medicine. In this review, we summarize        applications of scRNA-seq and ST in the cardiac field, including organogenesis        and clinical diseases, and provide insights into the promise of single-cell and        spatial transcriptomics in translational research and precision medicine.",7bc056a703a4c7fb054620a83651e34a9d2200a5,https://www.semanticscholar.org/paper/7bc056a703a4c7fb054620a83651e34a9d2200a5,37181659,PMC10173363,background,False,Computational and structural biotechnology journal,101585369
10.1016/j.xpro.2023.102204,Optimized protocol for direct cardiac reprogramming in mice using Ascl1 and        Mef2c.,2023.0,"Direct cardiac reprogramming refers to the conversion of fibroblasts into        cardiomyocyte-like cells (iCMs) without going through an intermediate progenitor        stage. Here, we present a protocol for direct cardiac reprogramming in mice using        Ascl1 and Mef2c. We describe steps for isolating primary neonatal mouse cardiac        fibroblast, preparing retrovirus encoding reprogramming factors, and efficient        cardiac reprogramming with Ascl1 and Mef2c. The resulting iCMs display        cardiomyocyte-like sarcomere structure, gene expression, and calcium flux. For        complete details on the use and execution of this protocol, please refer to Wang        et al. (2022).(1).",798cfe1a473db27a1ac4e9fc918dd2f6493a1c00,https://www.semanticscholar.org/paper/798cfe1a473db27a1ac4e9fc918dd2f6493a1c00,36989109,PMC10074248,,False,STAR protocols,101769501
10.1038/s41467-023-37256-8,Conserved transcription factors promote cell fate stability and restrict        reprogramming potential in differentiated cells.,2023.0,"Defining the mechanisms safeguarding cell fate identity in differentiated cells        is crucial to improve 1) - our understanding of how differentiation is maintained        in healthy tissues or altered in a disease state, and 2) - our ability to use        cell fate reprogramming for regenerative purposes. Here, using a genome-wide        transcription factor screen followed by validation steps in a variety of        reprogramming assays (cardiac, neural and iPSC in fibroblasts and endothelial        cells), we identified a set of four transcription factors (ATF7IP, JUNB, SP7, and        ZNF207 [AJSZ]) that robustly opposes cell fate reprogramming in both lineage and        cell type independent manners. Mechanistically, our integrated multi-omics        approach (ChIP, ATAC and RNA-seq) revealed that AJSZ oppose cell fate        reprogramming by 1) - maintaining chromatin enriched for reprogramming TF motifs        in a closed state and 2) - downregulating genes required for reprogramming.        Finally, KD of AJSZ in combination with MGT overexpression, significantly reduced        scar size and improved heart function by 50%, as compared to MGT alone        post-myocardial infarction. Collectively, our study suggests that inhibition of        barrier to reprogramming mechanisms represents a promising therapeutic avenue to        improve adult organ function post-injury.",2576de90339f61fea89c85da1a7ac0bf12801585,https://www.semanticscholar.org/paper/2576de90339f61fea89c85da1a7ac0bf12801585,36973293,PMC10043290,,False,Nature communications,101528555
10.1016/j.yjmcc.2023.03.008,Direct cardiac reprogramming: A new technology for cardiac repair.,2023.0,"Cardiovascular disease is one of the leading causes of morbidity and mortality        worldwide, with myocardial infarctions being amongst the deadliest        manifestations. Reduced blood flow to the heart can result in the death of        cardiac tissue, leaving affected patients susceptible to further complications        and recurrent disease. Further, contemporary management typically involves a        pharmacopeia to manage the metabolic conditions contributing to atherosclerotic        and hypertensive heart disease, rather than regeneration of the damaged        myocardium. With modern healthcare extending lifespan, a larger demographic will        be at risk for heart disease, driving the need for novel therapeutics that        surpass those currently available in efficacy. Transdifferentiation and cellular        reprogramming have been looked to as potential methods for the treatment of        diseases throughout the body. Specifically targeting the fibrotic cells in        cardiac scar tissue as a source to be reprogrammed into induced cardiomyocytes        remains an appealing option. This review aims to highlight the history of and        advances in cardiac reprogramming and describe its translational potential as a        treatment for cardiovascular disease.",0cd19a34cd44907a719c717d2c38c18178435274,https://www.semanticscholar.org/paper/0cd19a34cd44907a719c717d2c38c18178435274,36965701,PMC10124164,,False,Journal of molecular and cellular cardiology,262322
10.1038/s41569-022-00805-7,Single-cell transcriptomics for the assessment of cardiac disease.,2022.0,"Cardiovascular disease is the leading cause of death globally. An advanced        understanding of cardiovascular disease mechanisms is required to improve        therapeutic strategies and patient risk stratification. State-of-the-art,        large-scale, single-cell and single-nucleus transcriptomics facilitate the        exploration of the cardiac cellular landscape at an unprecedented level, beyond        its descriptive features, and can further our understanding of the mechanisms of        disease and guide functional studies. In this Review, we provide an overview of        the technical challenges in the experimental design of single-cell and        single-nucleus transcriptomics studies, as well as a discussion of the type of        inferences that can be made from the data derived from these studies.        Furthermore, we describe novel findings derived from transcriptomics studies for        each major cardiac cell type in both health and disease, and from development to        adulthood. This Review also provides a guide to interpreting the exhaustive list        of newly identified cardiac cell types and states, and highlights the consensus        and discordances in annotation, indicating an urgent need for standardization. We        describe advanced applications such as integration of single-cell data with        spatial transcriptomics to map genes and cells on tissue and define cellular        microenvironments that regulate homeostasis and disease progression. Finally, we        discuss current and future translational and clinical implications of novel        transcriptomics approaches, and provide an outlook of how these technologies will        change the way we diagnose and treat heart disease.",419b738ea24451299751468e08b191b7e1486956,https://www.semanticscholar.org/paper/419b738ea24451299751468e08b191b7e1486956,36539452,,,False,Nature reviews. Cardiology,101500075
10.1016/j.stem.2022.09.006,Cross-lineage potential of Ascl1 uncovered by comparing diverse reprogramming        regulatomes.,2022.0,"Direct reprogramming has revolutionized the fields of stem cell biology and        regenerative medicine. However, the common mechanisms governing how reprogramming        cells undergo transcriptome and epigenome remodeling (i.e., regulatome        remodeling) have not been investigated. Here, by characterizing early changes in        the regulatome of three different types of direct reprogramming, we identify        lineage-specific features as well as common regulatory transcription factors. Of        particular interest, we discover that the neuronal factor Ascl1 possesses        cross-lineage potential; together with Mef2c, it drives efficient cardiac        reprogramming toward a mature and induced cardiomyocyte phenotype. Through        ChIP-seq and RNA-seq, we find that MEF2C drives the shift in ASCL1 binding away        from neuronal genes toward cardiac genes, guiding their co-operative epigenetic        and transcription activities. Together, these findings demonstrate the existence        of common regulators of different direct reprogramming and argue against the        premise that transcription factors possess only lineage-specific capabilities for        altering cell fate - the basic premise used to develop direct reprogramming        approaches.",f8c73e6377c6dfcb182cb4c51dc3d8382e312d6e,https://www.semanticscholar.org/paper/f8c73e6377c6dfcb182cb4c51dc3d8382e312d6e,36206732,PMC9557912,,False,Cell stem cell,101311472
10.1161/CIRCULATIONAHA.122.059713,TBX20 Improves Contractility and Mitochondrial Function During Direct Human        Cardiac Reprogramming.,2022.0,"BACKGROUND: Direct cardiac reprogramming of fibroblasts into cardiomyocytes has        emerged as a promising strategy to remuscularize injured myocardium. However, it        is insufficient to generate functional induced cardiomyocytes from human        fibroblasts using conventional reprogramming cocktails, and the underlying        molecular mechanisms are not well studied. METHODS: To discover potential missing        factors for human direct reprogramming, we performed transcriptomic comparison        between human induced cardiomyocytes and functional cardiomyocytes. RESULTS: We        identified TBX20 (T-box transcription factor 20) as the top cardiac gene that is        unable to be activated by the MGT133 reprogramming cocktail (MEF2C, GATA4, TBX5,        and miR-133). TBX20 is required for normal heart development and cardiac function        in adult cardiomyocytes, yet its role in cardiac reprogramming remains undefined.        We show that the addition of TBX20 to the MGT133 cocktail (MGT+TBX20) promotes        cardiac reprogramming and activates genes associated with cardiac contractility,        maturation, and ventricular heart. Human induced cardiomyocytes produced with        MGT+TBX20 demonstrated more frequent beating, calcium oscillation, and higher        energy metabolism as evidenced by increased mitochondria numbers and        mitochondrial respiration. Mechanistically, comprehensive transcriptomic,        chromatin occupancy, and epigenomic studies revealed that TBX20 colocalizes with        MGT reprogramming factors at cardiac gene enhancers associated with heart        contraction, promotes chromatin binding and co-occupancy of MGT factors at these        loci, and synergizes with MGT for more robust activation of target gene        transcription. CONCLUSIONS: TBX20 consolidates MGT cardiac reprogramming factors        to activate cardiac enhancers to promote cardiac cell fate conversion. Human        induced cardiomyocytes generated with TBX20 showed enhanced cardiac function in        contractility and mitochondrial respiration.",f41e95df717eda4441cd6ee8cbcdc3857003b969,https://www.semanticscholar.org/paper/f41e95df717eda4441cd6ee8cbcdc3857003b969,36102189,PMC9662826,,False,Circulation,147763
10.1016/j.xpro.2022.101560,"A review of protocols for human iPSC culture, cardiac differentiation,        subtype-specification, maturation, and direct reprogramming.",2022.0,"The methods for the culture and cardiomyocyte differentiation of human embryonic        stem cells, and later human induced pluripotent stem cells (hiPSC), have moved        from a complex and uncontrolled systems to simplified and relatively robust        protocols, using the knowledge and cues gathered at each step. HiPSC-derived        cardiomyocytes have proven to be a useful tool in human disease modelling, drug        discovery, developmental biology, and regenerative medicine. In this protocol        review, we will highlight the evolution of protocols associated with hPSC        culture, cardiomyocyte differentiation, sub-type specification, and cardiomyocyte        maturation. We also discuss protocols for somatic cell direct reprogramming to        cardiomyocyte-like cells.",53824af24b9bf77965ee0b3eeb3db28b20adfda3,https://www.semanticscholar.org/paper/53824af24b9bf77965ee0b3eeb3db28b20adfda3,36035804,PMC9405110,,False,STAR protocols,101769501
10.3389/fcell.2022.929256,Manipulating Cardiomyocyte Plasticity for Heart Regeneration.,2022.0,"Pathological heart injuries such as myocardial infarction induce adverse        ventricular remodeling and progression to heart failure owing to widespread        cardiomyocyte death. The adult mammalian heart is terminally differentiated        unlike those of lower vertebrates. Therefore, the proliferative capacity of adult        cardiomyocytes is limited and insufficient to restore an injured heart. Although        current therapeutic approaches can delay progressive remodeling and heart        failure, difficulties with the direct replenishment of lost cardiomyocytes        results in a poor long-term prognosis for patients with heart failure. However,        it has been revealed that cardiac function can be improved by regulating the cell        cycle or changing the cell state of cardiomyocytes by delivering specific genes        or small molecules. Therefore, manipulation of cardiomyocyte plasticity can be an        effective treatment for heart disease. This review summarizes the recent studies        that control heart regeneration by manipulating cardiomyocyte plasticity with        various approaches including differentiating pluripotent stem cells into        cardiomyocytes, reprogramming cardiac fibroblasts into cardiomyocytes, and        reactivating the proliferation of cardiomyocytes.",54bf99b1bcfe268de58b74e8d602360a4e4b1c3f,https://www.semanticscholar.org/paper/54bf99b1bcfe268de58b74e8d602360a4e4b1c3f,35898398,PMC9309349,background,False,Frontiers in cell and developmental biology,101630250
10.3389/fcell.2022.883861,Advances in Single-Cell Multi-Omics and Application in Cardiovascular Research.,2022.0,"With the development of ever more powerful and versatile high-throughput        sequencing techniques and innovative ways to capture single cells, mapping the        multicellular tissues at the single-cell level is becoming routine practice.        However, it is still challenging to depict the epigenetic landscape of a single        cell, especially the genome-wide chromatin accessibility, histone modifications,        and DNA methylation. We summarize the most recent methodologies to profile these        epigenetic marks at the single-cell level. We also discuss the development and        advancement of several multi-omics sequencing technologies from individual cells.        Advantages and limitations of various methods to compare and integrate datasets        obtained from different sources are also included with specific practical notes.        Understanding the heart tissue at single-cell resolution and multi-modal levels        will help to elucidate the cell types and states involved in physiological and        pathological events during heart development and disease. The rich information        produced from single-cell multi-omics studies will also promote the research of        heart regeneration and precision medicine on heart diseases.",04eb943caba81259c7c8a725edf3d0e475e8a95a,https://www.semanticscholar.org/paper/04eb943caba81259c7c8a725edf3d0e475e8a95a,35733851,PMC9207481,,False,Frontiers in cell and developmental biology,101630250
