Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor,relevance_score,cited_Normalized,impact_Normalized,final_score
Heterogeneity and individualized treatment of microenvironment in glioblastoma (Review),"The heterogeneity of glioblastoma can suppress immune cell function and lead to immune evasion, which presents a challenge in developing effective molecular therapies for tumor cells. However, the study of tumor immune heterogeneity holds great potential for clinical immunotherapy. Liquid biopsy is a useful tool for accurately monitoring dynamic changes in tumor immune heterogeneity and the tumor microenvironment. This paper explores the heterogeneity of glioblastoma and the immune microenvironment, providing a therapeutic basis for individualized treatment. Using liquid biopsy technology as a new diagnostic method, innovative treatment strategies may be implemented for patients with glioblastoma to improve their outcomes.",37888767,PMC10636722,10.3892/or.2023.8654,0,Oncology reports,9422756,4.136,0.8635067343711853,0.0033444816053511705,0.24749163879598662,0.5682712647029787
Single-Cell Transcriptome Profiling Signatures and Alterations of Microglia Associated With Glioblastoma Associate Microglia Contribution to Tumor Formation,"Glioblastoma (GBM), which occasionally occurs in pediatric patients, is the most common tumor of the central nervous system in adults. Clinically, GBM is classified as low-grade to high-grade (from 1 to 4) and is characterized by late discovery, limited effective treatment methods, and poor efficacy. With the development of immunotherapy technology, effective GBM treatment strategies are of great significance. The main immune cells found in the GBM tumor microenvironment are macrophages and microglia (MG). Both these monocytes play important roles in the occurrence and development of GBM. Macrophages are recruited during tumorigenesis, whereas MG is present in the brain during embryonic development. Interestingly, the accumulation of these monocytes is inversely proportional to the survival of adult GBM patients but not the pediatric GBM patients. This study used single-cell RNA-seq data to reveal the heterogeneity of MG in tumor lesions and to explore the role of different MG subtypes in the occurrence and development of GBM. The results may help find new targets for immunotherapy of GBM.",35693633,PMC9176381,10.3389/pore.2022.1610067,3,Pathology oncology research : POR,9706087,2.874,0.8578872084617615,0.431438127090301,0.1505016722408027,0.6311202849432777
"Glioblastoma scRNA-seq shows treatment-induced, immune-dependent increase in mesenchymal cancer cells and structural variants in distal neural stem cells","Background:Glioblastoma is a treatment-resistant brain cancer. Its hierarchical cellular nature and its tumor microenvironment (TME) before, during, and after treatments remain unresolved.Methods:Here, we used single-cell RNA sequencing to analyze new and recurrent glioblastoma and the nearby subventricular zone (SVZ).Results:We found 4 glioblastoma neural lineages are present in new and recurrent glioblastoma with an enrichment of the cancer mesenchymal lineage, immune cells, and reactive astrocytes in early recurrences. Cancer lineages were hierarchically organized around cycling oligodendrocytic and astrocytic progenitors that are transcriptomically similar but distinct to SVZ neural stem cells (NSCs). Furthermore, NSCs from the SVZ of patients with glioblastoma harbored glioblastoma chromosomal anomalies. Lastly, mesenchymal cancer cells and TME reactive astrocytes shared similar gene signatures which were induced by radiotherapy in a myeloid-dependent fashion in vivo.Conclusion:These data reveal the dynamic, immune-dependent nature of glioblastoma's response to treatments and identify distant NSCs as likely cells of origin.",35416251,PMC9435507,10.1093/neuonc/noac085,7,Neuro-oncology,100887420,13.029,0.8474634885787964,0.5919732441471572,0.8361204013377926,0.7940968222442677
The diversity and dynamics of tumor-associated macrophages in recurrent glioblastoma,"Despite tremendous efforts to exploit effective therapeutic strategies, most glioblastoma (GBM) inevitably relapse and become resistant to therapies, including radiotherapy and immunotherapy. The tumor microenvironment (TME) of recurrent GBM (rGBM) is highly immunosuppressive, dominated by tumor-associated macrophages (TAMs). TAMs consist of tissue-resident microglia and monocyte-derived macrophages (MDMs), which are essential for favoring tumor growth, invasion, angiogenesis, immune suppression, and therapeutic resistance; however, restricted by the absence of potent methods, the heterogeneity and plasticity of TAMs in rGBM remain incompletely investigated. Recent application of single-cell technologies, such as single-cell RNA-sequencing has enabled us to decipher the unforeseen diversity and dynamics of TAMs and to identify new subsets of TAMs which regulate anti-tumor immunity. Here, we first review hallmarks of the TME, progress and challenges of immunotherapy, and the biology of TAMs in the context of rGBM, including their origins, categories, and functions. Next, from a single-cell perspective, we highlight recent findings regarding the distinctions between tissue-resident microglia and MDMs, the identification and characterization of specific TAM subsets, and the dynamic alterations of TAMs during tumor progression and treatment. Last, we briefly discuss the potential of TAM-targeted strategies for combination immunotherapy in rGBM. We anticipate the comprehensive understanding of the diversity and dynamics of TAMs in rGBM will shed light on further improvement of immunotherapeutic efficacy in rGBM.",37731483,PMC10507272,10.3389/fimmu.2023.1238233,4,Frontiers in immunology,101560960,8.786,0.837619960308075,0.4882943143812709,0.6454849498327759,0.7293278290276544
Single-cell sequencing reveals the landscape of the human brain metastatic microenvironment,"Brain metastases is the most common intracranial tumor and account for approximately 20% of all systematic cancer cases. It is a leading cause of death in advanced-stage cancer, resulting in a five-year overall survival rate below 10%. Therefore, there is a critical need to identify effective biomarkers that can support frequent surveillance and promote efficient drug guidance in brain metastasis. Recently, the remarkable breakthroughs in single-cell RNA-sequencing (scRNA-seq) technology have advanced our insights into the tumor microenvironment (TME) at single-cell resolution, which offers the potential to unravel the metastasis-related cellular crosstalk and provides the potential for improving therapeutic effects mediated by multifaceted cellular interactions within TME. In this study, we have applied scRNA-seq and profiled 10,896 cells collected from five brain tumor tissue samples originating from breast and lung cancers. Our analysis reveals the presence of various intratumoral components, including tumor cells, fibroblasts, myeloid cells, stromal cells expressing neural stem cell markers, as well as minor populations of oligodendrocytes and T cells. Interestingly, distinct cellular compositions are observed across different samples, indicating the influence of diverse cellular interactions on the infiltration patterns within the TME. Importantly, we identify tumor-associated fibroblasts in both our in-house dataset and external scRNA-seq datasets. These fibroblasts exhibit high expression of type I collagen genes, dominate cell-cell interactions within the TME via the type I collagen signaling axis, and facilitate the remodeling of the TME to a collagen-I-rich extracellular matrix similar to the original TME at primary sites. Additionally, we observe M1 activation in native microglial cells and infiltrated macrophages, which may contribute to a proinflammatory TME and the upregulation of collagen type I expression in fibroblasts. Furthermore, tumor cell-specific receptors exhibit a significant association with patient survival in both brain metastasis and native glioblastoma cases. Taken together, our comprehensive analyses identify type I collagen-secreting tumor-associated fibroblasts as key mediators in metastatic brain tumors and uncover tumor receptors that are potentially associated with patient survival. These discoveries provide potential biomarkers for effective therapeutic targets and intervention strategies.",37479733,PMC10362065,10.1038/s42003-023-05124-2,2,Communications biology,101719179,6.548,0.8283842206001282,0.3411371237458194,0.4816053511705686,0.6615790273433546
Combining single-cell sequencing and spatial transcriptome sequencing to identify exosome-related features of glioblastoma and constructing a prognostic model to identify BARD1 as a potential therapeutic target for GBM patients,"Background:Glioblastoma (GBM) is a malignant primary brain tumor. This study focused on exploring the exosome-related features of glioblastoma to better understand its cellular composition and molecular characteristics.Methods:Single-cell RNA sequencing (scRNA-seq) and spatial transcriptome RNA sequencing (stRNA-seq) were used to analyze the heterogeneity of glioblastomas. After data integration, cell clustering, and annotation, five algorithms were used to calculate scores for exosome-related genes(ERGs). Cell trajectory analysis and intercellular communication analysis were performed to explore exosome-related communication patterns. Spatial transcriptome sequencing data were analyzed to validate the findings. To further utilize exosome-related features to aid in clinical decision-making, a prognostic model was constructed using GBM's bulk RNA-seq.Results:Different cell subpopulations were observed in GBM, with Monocytes/macrophages and malignant cells in tumor samples showing higher exosome-related scores. After identifying differentially expressed ERGs in malignant cells, pseudotime analysis revealed the cellular status of malignant cells during development. Intercellular communication analysis highlighted signaling pathways and ligand-receptor interactions. Spatial transcriptome sequencing confirmed the high expression of exosome-related gene features in the tumor core region. A prognostic model based on six ERGs was shown to be predictive of overall survival and immunotherapy outcome in GBM patients. Finally, based on the results of scRNA-seq and prognostic modeling as well as a series of cell function experiments, BARD1 was identified as a novel target for the treatment of GBM.Conclusion:This study provides a comprehensive understanding of the exosome-related features of GBM in both scRNA-seq and stRNA-seq, with malignant cells with higher exosome-related scores exhibiting stronger communication with Monocytes/macrophages. In terms of spatial data, highly scored malignant cells were also concentrated in the tumor core region. In bulk RNA-seq, patients with a high exosome-related index exhibited an immunosuppressive microenvironment, which was accompanied by a worse prognosis as well as immunotherapy outcomes. Prognostic models constructed using ERGs are expected to be independent prognostic indicators for GBM patients, with potential implications for personalized treatment strategies for GBM. Knockdown of BARD1 in GBM cell lines reduces the invasive and value-added capacity of tumor cells, and thus BARD1-positively expressing malignant cells are a risk factor for GBM patients.",37727789,PMC10505933,10.3389/fimmu.2023.1263329,9,Frontiers in immunology,101560960,8.786,0.8247444033622742,0.6588628762541806,0.6488294314381271,0.756385103555826
Roles of the m6A Modification of RNA in the Glioblastoma Microenvironment as Revealed by Single-Cell Analyses,"Purpose:Glioblastoma multiforme (GBM) is a common and aggressive form of brain tumor. The N6-methyladenosine (m6A) mRNA modification plays multiple roles in many biological processes and disease states. However, the relationship between m6A modifications and the tumor microenvironment in GBM remains unclear, especially at the single-cell level.Experimental design:Single-cell and bulk RNA-sequencing data were acquired from the GEO and TCGA databases, respectively. We used bioinformatics and statistical tools to analyze associations between m6A regulators and multiple factors.Results:HNRNPA2B1andHNRNPCwere extensively expressed in the GBM microenvironment. m6A regulators promoted the stemness state in GBM cancer cells. Immune-related BP terms were enriched in modules of m6A-related genes. Cell communication analysis identified genes in the GALECTIN signaling network in GBM samples, and expression of these genes (LGALS9,CD44,CD45, andHAVCR2) correlated with that of m6A regulators. Validation experiments revealed thatMDKin MK signaling network promoted migration and immunosuppressive polarization of macrophage. Expression of m6A regulators correlated with ICPs in GBM cancer cells, M2 macrophages and T/NK cells. Bulk RNA-seq analysis identified two expression patterns (low m6A/high ICP and high m6A/low ICP) with different predicted immune infiltration and responses to ICP inhibitors. A predictive nomogram model to distinguish these 2 clusters was constructed and validated with excellent performance.Conclusion:At the single-cell level, m6A modification facilitates the stemness state in GBM cancer cells and promotes an immunosuppressive microenvironment through ICPs and the GALECTIN signaling pathway network. And we also identified two m6A-ICP expression patterns. These findings could lead to novel treatment strategies for GBM patients.",35558067,PMC9086907,10.3389/fimmu.2022.798583,10,Frontiers in immunology,101560960,8.786,0.8223318457603455,0.6822742474916388,0.6521739130434783,0.7602887395632306
Dissecting human gliomas by single-cell RNA sequencing,"Diffuse gliomas are the most common human primary brain tumors and remain incurable. They are complex entities in which diverse genetic and nongenetic effects determine tumor biology and clinical course. Our current understanding of gliomas in patients is primarily based on genomic and transcriptomic methods that have profiled them as bulk, providing critical information yet masking the diversity of cells within each tumor. Recent advances in single-cell DNA and RNA profiling have paved the way to studying tumors at cellular resolution. Here, we review initial studies deploying single-cell analysis in clinical glioma samples, with a focus on RNA expression profiling. We highlight how these studies provide new insights into glioma biology, tumor heterogeneity, cancer cell lineages, cancer stem cell programs, the tumor microenvironment, and glioma classification.",29016805,PMC5761500,10.1093/neuonc/nox126,36,Neuro-oncology,100887420,13.029,0.820900559425354,0.882943143812709,0.8394648829431438,0.8370219410063828
Microenvironment-Derived Regulation of HIF Signaling Drives Transcriptional Heterogeneity in Glioblastoma Multiforme,"The evolving and highly heterogeneous nature of malignant brain tumors underlies their limited response to therapy and poor prognosis. In addition to genetic alterations, highly dynamic processes, such as transcriptional and metabolic reprogramming, play an important role in the development of tumor heterogeneity. The current study reports an adaptive mechanism in which the metabolic environment of malignant glioma drives transcriptional reprogramming. Multiregional analysis of a glioblastoma patient biopsy revealed a metabolic landscape marked by varying stages of hypoxia and creatine enrichment. Creatine treatment and metabolism was further shown to promote a synergistic effect through upregulation of the glycine cleavage system and chemical regulation of prolyl-hydroxylase domain. Consequently, creatine maintained a reduction of reactive oxygen species and change of the Î±-ketoglutarate/succinate ratio, leading to an inhibition of HIF signaling in primary tumor cell lines. These effects shifted the transcriptional pattern toward a proneural subtype and reduced the rate of cell migration and invasionin vitroImplications:Transcriptional subclasses of glioblastoma multiforme are heterogeneously distributed within the same tumor. This study uncovered a regulatory function of the tumor microenvironment by metabolism-driven transcriptional reprogramming in infiltrating glioma cells.Mol Cancer Res; 16(4); 655-68. Â©2018 AACR.",29330292,,10.1158/1541-7786.MCR-17-0680,18,Molecular cancer research : MCR,101150042,6.333,0.8207569718360901,0.7725752508361204,0.4682274247491639,0.7406147182187109
The Heterogeneity of Tumour-Associated Macrophages Contributes to the Recurrence and Outcomes of Glioblastoma Patients,"Cellular heterogeneity and immune cell molecular phenotypes may be involved in the malignant progression of glioblastoma (GBM). In this study, we aimed to know whether the heterogeneity of tumour-associated macrophages contributes to the recurrence and outcomes of glioblastoma patients. Single-cell RNA sequencing (scRNA-Seq) data were used to assess the heterogeneity of CD45 + immune cells in recurrent GBM and analyse differentially expressed genes (DEGs) in master cells. Then, a prognostic signature based on the identified DEGs was established and validated, the correlation between risk score and tumour microenvironment (TME) was explored. The correlation between immune infiltration and LGMN, an important DEG in GBM tumour-associated macrophages (TAMs) was illuminated, using integrated bioinformatics analyses. Finally, immunohistochemistry and multiplex immunohistochemistry (mIHC) were used to analyse the expression of LGMN in GBM tissues from our hospital. scRNA-Seq analysis showed that the heterogeneity of recurrent GBM mainly comes from TAMs, which can be divided into 8 cell subclusters. Among these subclusters, TAM1 (markers: CXCL10, ADORA3), TAM3 (markers: MRC1, CFP), TAM4 (markers: GPNMB, PLTP), and TAM5 (markers: CCL4, IRAK2) were specifically present in recurrent GBM. After 342 DEGs in TAMs were identified, a prognostic signature was established based on 13 TAM-associated DEGs, and this signature could serve as an excellent prognostic predictor for patients with GBM. LGMN, one of 13 TAM-associated DEGs, was an important gene in lysosome pathway, we found that macrophage infiltration levels were higher after LGMN upregulation. GBM tissues from our hospital were collected for histopathologic validation, then LGMN was co-expressed with CD68, which is associated with the immune regulation of GBM. In conclusion, cell heterogeneity of TAMs is important for recurrent GBM, a prognostic signature based on 13 TAM-related DEGs can predict the survival outcome of GBM patients. An important DEG, LGMN may regulate the immune cell infiltration of GBM.",36542317,,10.1007/s12031-022-02081-z,0,Journal of molecular neuroscience : MN,9002991,2.866,0.8180109858512878,0.006688963210702341,0.14046822742474915,0.520238029637863
